fold,cd,null_mean,null_sd
1,1,1.5488205183210781,0.016890158332739522
1,2,1.5391004486513724,0.022416078087162478
1,3,1.5395717860007145,0.021739017634546044
1,4,1.5440864744000773,0.0204317306873638
2,1,1.5496772798032246,0.018052795945319746
2,2,1.5386667532520821,0.0221691214567557
2,3,1.542745734076172,0.01928536132608673
2,4,1.546242733244511,0.02024814702782703
3,1,1.5517611965962317,0.016652442187221738
3,2,1.5385340326109358,0.02163912568687141
3,3,1.5461919085406834,0.018641018009815418
3,4,1.547851382885139,0.01763166805096645
4,1,1.5461939464694066,0.01668477602088284
4,2,1.539999767215734,0.020326078909101684
4,3,1.5501142155177117,0.015156454481932658
4,4,1.5439306473313152,0.019104576228771288
5,1,1.5468665107489372,0.01669391148799733
5,2,1.5369574860282185,0.021410238704243006
5,3,1.5438963014952698,0.019530537738951914
5,4,1.5447043062353967,0.019786683080489587
6,1,1.5458266920309562,0.01831737700198541
6,2,1.5318101708043568,0.02375141786540376
6,3,1.550586721524445,0.01568048941383543
6,4,1.5468134367070543,0.01703278071240171
7,1,1.5488918981598627,0.017341704531438087
7,2,1.5387700187362054,0.020373539632737043
7,3,1.5432306069693726,0.0200540248630415
7,4,1.540956597548907,0.02031742222314049
8,1,1.5427034331913345,0.021069220319310987
8,2,1.5358310937772444,0.022296481694418908
8,3,1.541637331911285,0.01999228756188051
8,4,1.5448127163542624,0.01931893523994175
9,1,1.5516208693912936,0.014835067628174109
9,2,1.5351243605468732,0.023425567148039474
9,3,1.5425951814506826,0.017821021300014124
9,4,1.5428453825971438,0.020380642221224394
10,1,1.5512651186771167,0.015112692937669656
10,2,1.538406218679955,0.024057808473678582
10,3,1.5423214332803796,0.021013958378944833
10,4,1.544961225097956,0.019362458349355616
11,1,1.5525890753132128,0.016140862775305763
11,2,1.5359026131518196,0.02018842409168037
11,3,1.548169078210687,0.016321117884380388
11,4,1.5461422416762902,0.01801833315356849
12,1,1.5500162680697396,0.015305997956675626
12,2,1.5364596502887204,0.023683608219974162
12,3,1.5355373670592636,0.02241159817662476
12,4,1.5455186070150193,0.01801002420785801
13,1,1.5488786561568368,0.01593980227525472
13,2,1.53501438743587,0.02275807434673651
13,3,1.5388668333423077,0.021849724104418104
13,4,1.54383626153742,0.01883594170851379
14,1,1.5502910786834925,0.016016694144212626
14,2,1.5393450584461412,0.019648834234895128
14,3,1.547991929369346,0.01758768700439745
14,4,1.5507213564493034,0.01580198072001628
15,1,1.5479731124124352,0.018520035589172482
15,2,1.5375898606583234,0.025932549848891796
15,3,1.5403605005683203,0.021134582816982304
15,4,1.546974598674491,0.018849734082361333
