"sample_id","ph","soil_c","soil_n","soil_c_n_ratio","soil_p","clay_silt","latitude","longitude"
"87",7.6,1.747,0.114,15.337,284.238,67.395,-31.8654,145.25161
"88",6.53,2.187,0.117,18.663,246.618,77.635,-31.844558,145.261715
"89",7.89,1.222,0.14,8.752,108.653,84.647,-32.633899,145.591506
"90",7.89,2.512,0.112,22.41,277.625,76.71,-32.640211,145.613197
"91",6.44,2.459,0.152,16.155,234.102,57.631,-33.99013,145.765813
"92",6.47,3.398,0.115,29.518,333.719,74.457,-33.984529,145.774749
"93",6.11,2.152,0.139,15.514,182.472,66.917,-33.993636,145.698279
"94",6.33,1.653,0.106,15.539,100.582,62.737,-33.797051,145.631861
"95",5.98,2.027,0.104,19.473,169.209,74.958,-33.794211,145.637641
"96",5.76,1.898,0.159,11.968,180.286,73.102,-34.798363,146.481861
"97",6.01,2.076,0.147,14.162,150.044,71.236,-34.825074,146.490617
"98",6.02,1.836,0.092,20.02,206.866,85.524,-34.76219,145.992029
"99",5.78,1.538,0.15,10.279,324.191,79.085,-34.747744,145.90637
"100",5.89,2.534,0.094,26.961,246.727,77.428,-34.811983,146.465998
"101",6.5,2.232,0.179,12.468,288.793,61.8,-33.8422,145.5878
"102",5.86,3.193,0.172,18.563,276.259,27.6,-34.7974,145.88378
"103",7.75,3.331,0.187,17.812,198.796,22.3,-32.62636,145.67999
"104",7.36,2.743,0.115,23.853,112.478,37.1,-31.875593,145.2644
"105",6,4.801,0.266,18.055,641.513,23.468,-34.554395,145.97622
"106",6.06,3.967,0.266,14.895,459.278,39.947,-34.557097,145.96507
"107",5.66,7.393,0.374,19.772,752.206,28.631,-34.556716,145.829136
"108",5.84,6.392,0.399,16.039,856.25,24.906,-34.56556,145.788243
"109",5.85,10.418,0.35,29.775,722.711,23.61,-34.538107,145.779652
"110",7.05,7.137,0.316,22.585,754.447,20.612,-35.934712,145.891286
"111",5.58,8.583,0.428,20.063,783.232,22.381,-35.950539,145.87919
"112",6.48,6.091,0.299,20.345,853.335,24.476,-35.953218,145.74798
"113",5.15,6.436,0.33,19.503,623.878,31.67,-35.9228,145.685582
"114",5.31,8.661,0.348,24.887,841.548,20.62,-35.884732,145.6486
"115",5.58,6.28,0.349,17.995,750.803,23.303,-35.864302,145.601954
"116",6.77,4.234,0.202,20.969,508.066,33.464,-35.358242,144.614926
"117",5.36,5.58,0.218,25.629,365.673,33.429,-35.351175,144.580937
"118",7.05,6.67,0.262,25.447,636.467,31.274,-35.329233,144.574145
"119",6.47,4.423,0.229,19.355,460.134,39.006,-35.350591,144.647202
"120",6.14,2.32,0.358,6.481,381.195,89.9,-34.5239,145.70554
"121",7.85,7.348,0.219,33.553,1015.002,76.2,-35.3858,144.5354
