"canonical_direction","fold","train","test","seed"
1,1,0.984713695828989,0.919487130080821,0
2,1,0.975116127397505,0.639955802161304,0
3,1,0.924536538476229,0.533889343176146,0
4,1,0.898398229919828,0.751170262243075,0
5,1,0.888043125802028,0.461177282060723,0
6,1,0.797130947677266,0.547156023088719,0
1,2,0.985558783211375,0.913217783980448,0
2,2,0.969688360070267,0.883500854934727,0
3,2,0.923819070984714,0.776894917559171,0
4,2,0.902093322533428,0.902941192939924,0
5,2,0.901006045407057,0.385243173248313,0
6,2,0.804398596660574,0.511577801482956,0
1,3,0.983647483104332,0.965658605535011,0
2,3,0.968382526491853,0.858814130884264,0
3,3,0.915446375195122,0.834531824056235,0
4,3,0.900071510370062,0.667632617981991,0
5,3,0.879953227797881,0.766325526595919,0
6,3,0.821739220342466,0.24368145305721,0
1,4,0.983826356029961,0.984481015694155,0
2,4,0.970145150332778,0.948104984991954,0
3,4,0.918397839548967,0.787499589165851,0
4,4,0.906910778653122,0.650972824959888,0
5,4,0.890155112600037,0.270036355793116,0
6,4,0.821094747205139,0.837707785739979,0
1,5,0.985535046161683,0.894668591047041,0
2,5,0.966039416286824,0.975253050193548,0
3,5,0.929967885478133,0.60083455502089,0
4,5,0.909495920648985,0.721113700926999,0
5,5,0.903555903789253,0.543755497225696,0
6,5,0.792068420219794,0.635569975484729,0
1,6,0.983148406209182,0.975949365822014,0
2,6,0.968706819237821,0.941586550770968,0
3,6,0.911506941280997,0.877092797313181,0
4,6,0.901607401197805,0.634640359483051,0
5,6,0.842738797491608,0.521554382544758,0
6,6,0.831283446509207,0.690531469022434,0
1,7,0.984335045879297,0.930552716636637,0
2,7,0.967660308613111,0.938273783800815,0
3,7,0.91940251657912,0.636812021932995,0
4,7,0.920159503416352,0.434438488118288,0
5,7,0.892981442315504,0.503172342426638,0
6,7,0.806981020774519,0.270693149134028,0
1,8,0.984093315739386,0.957289398979348,0
2,8,0.968427446923269,0.93147099141045,0
3,8,0.924075780163887,0.778556405073811,0
4,8,0.901303845059833,0.744638948586851,0
5,8,0.891316615578366,0.571547607126654,0
6,8,0.826053803493232,0.184991747860546,0
1,9,0.98194548438614,0.978601918928943,0
