fold,cd,null_mean,null_sd
1,1,1.1218030662309977,0.05966447467823437
1,2,1.4847659194902731,0.0487795916924857
1,3,1.3265397691195269,0.05245609211868065
2,1,1.1476420397153897,0.06031306265662207
2,2,1.4796692411584564,0.06013418293498702
2,3,1.3303941078741706,0.06055114876895231
3,1,1.1562957716999698,0.06994176549444016
3,2,1.462689957678152,0.05990391356297161
3,3,1.3527610547312798,0.05706338837434041
4,1,1.1646933676941087,0.056116197240664765
4,2,1.4842217952669627,0.0526934836023281
4,3,1.2978529392987042,0.05373217430110478
5,1,1.168809248592715,0.06578827709424147
5,2,1.4678124456437485,0.054324424265553534
5,3,1.2940672896421337,0.05953392954136823
6,1,1.1627675679018281,0.06217478771469082
6,2,1.4924901531873296,0.04962218827840976
6,3,1.312941405655652,0.05230849288203819
7,1,1.1751755266836288,0.060639004713649435
7,2,1.4561518586849034,0.060861096444568656
7,3,1.3001680021087438,0.06107155917599126
8,1,1.157666309345754,0.05650396276411094
8,2,1.5176069131838708,0.040372371115817395
8,3,1.3489086823968193,0.0643310976664512
9,1,1.1702866095492117,0.06561670754315545
9,2,1.4897757951522588,0.046055358149590865
9,3,1.3587885665488837,0.059180242393638886
10,1,1.1501164125318595,0.06489622340305866
10,2,1.4728970699350314,0.05902444299987214
10,3,1.3114852717124579,0.0688124798517659
11,1,1.1563779464218014,0.053571947920961344
11,2,1.4561006390202176,0.0607401878575662
11,3,1.3276625425300896,0.0586127437158484
12,1,1.1550914256536535,0.05944792288211637
12,2,1.480202941647953,0.053392827503715455
12,3,1.3097536246222066,0.06196449126830824
13,1,1.1529620372248384,0.06681850259229731
13,2,1.5140927345947381,0.038316405493677985
13,3,1.3144697659757938,0.057459409195147984
14,1,1.1529943794392337,0.05802711672488541
14,2,1.5192467111187766,0.039870636709016735
14,3,1.3286452400872568,0.05924796193563612
15,1,1.1413107105967595,0.05366704404343743
15,2,1.4285609971466238,0.05545718056956112
15,3,1.301515894602053,0.05293275098831576
