"canonical_direction","fold","train","test"
1,1,0.996574502306358,0.928548869786696
2,1,0.993628451263957,0.924290608028232
5,1,0.970867475276782,0.944033004785116
3,1,0.972024874623573,0.85667363945783
4,1,0.96562738447083,0.773304871640915
6,1,0.954244379968693,0.0544791995391972
1,2,0.995776961162399,0.979069816140861
2,2,0.994073097346124,0.786078276899924
5,2,0.972085122977083,0.911420659896038
3,2,0.974341989525809,0.82678990072115
4,2,0.964178977971411,0.549229310376705
6,2,0.947966539811574,0.154301414774333
1,3,0.995959071112191,0.882923223311198
2,3,0.993510355711135,0.966360219802575
5,3,0.986418306209534,0.503383045113232
3,3,0.978683617325347,0.589713703327703
4,3,0.96229666004751,0.837992082954744
6,3,0.948868871422898,0.348508818015975
1,4,0.995495207055875,0.990299283489827
2,4,0.993697807609767,0.946301909177277
5,4,0.975281050367299,0.102297668792548
3,4,0.975643370482702,0.773993134430967
4,4,0.962125567329806,0.627163135468139
6,4,0.945342242231385,0.818629556105317
1,5,0.99543053678829,0.993523731139789
2,5,0.994139585588335,0.833911796772975
5,5,0.967990486534386,0.786421782362201
3,5,0.976362676836647,0.045157506843766
4,5,0.971398981061013,0.976295276578114
6,5,0.94744666322669,0.563951993545236
1,6,0.997147504599782,0.95617065719107
2,6,0.99246040804285,0.991898531432506
5,6,0.971916529141902,0.92012024678978
3,6,0.977528822556585,0.829804765970244
4,6,0.962640366327699,0.532410414438156
6,6,0.944240196976487,0.762125993464528
1,7,0.995610951470635,0.914018164632009
2,7,0.993571562860294,0.966577312865046
5,7,0.969997004942773,0.846493677868792
3,7,0.973785886105043,0.857628911859652
4,7,0.962587027162156,0.824761790224429
6,7,0.939083602870618,0.64909064354857
1,8,0.995895176085973,0.925762580388743
2,8,0.993910011949528,0.792186030901784
5,8,0.972765323024669,0.90245656200599
3,8,0.962893390732875,0.906309703163611
4,8,0.971420128754265,0.915465793413281
6,8,0.946165842283037,0.586289453747254
1,9,0.995759268936366,0.974484255283049
2,9,0.993739508329221,0.782158021734486
5,9,0.976272195432632,0.384955686842357
3,9,0.974708913606602,0.698136343759558
4,9,0.948962584988399,0.648729717316276
6,9,0.946553654614074,0.848739880080812
1,10,0.995479778401883,0.963103547725993
2,10,0.993857005311724,0.984419914958381
5,10,0.975195505412126,-0.0366493140891855
3,10,0.977465073737021,0.564655818730475
4,10,0.961837078354171,0.798641837178192
6,10,0.944356684537944,0.701840012829493
1,11,0.995419822163863,0.995974225539865
2,11,0.994486241894965,0.310922562604477
5,11,0.978455114157971,0.651650838873974
3,11,0.981713431084865,0.622365413217022
4,11,0.969933487330477,0.677252936116077
6,11,0.946490866401467,0.544350330718144
1,12,0.995734658281628,0.945668848887181
2,12,0.993791207314852,0.905312890075081
5,12,0.972059221601485,0.804907290612271
3,12,0.974575319772038,0.712411449029315
4,12,0.966467145557875,0.00198368022418457
6,12,0.944561780311715,-0.42504838391552
1,13,0.995814777979833,0.789220301207036
2,13,0.993619450362595,0.98828912580143
5,13,0.972668126811682,0.688072887137944
3,13,0.975732439485984,0.840387861472841
4,13,0.965348728333616,0.33162022872351
6,13,0.948350733384142,0.385350356190923
1,14,0.995348528298485,0.986873482989353
2,14,0.993173817554559,0.979990466601091
5,14,0.97378046929941,0.129331871405191
3,14,0.970276911430848,0.891694620315193
4,14,0.953923523981466,0.660476150456867
6,14,0.946105780777958,0.673336897845296
1,15,0.995628471900654,0.98232224819296
2,15,0.993924831947944,0.756675004619725
5,15,0.971800442113168,0.89373252244765
3,15,0.977840301305216,0.920020848691785
4,15,0.966069758509878,0.679615562171094
6,15,0.951337418111315,0.72388554976291
