fold,cd,null_mean,null_sd
1,1,1.5371039390472623,0.015730143543972192
1,2,1.5538344095893584,0.01301720397830588
1,3,1.5555390484221272,0.012829963865388622
2,1,1.5382049557648128,0.017152573938418587
2,2,1.5564974759426242,0.010672559695139252
2,3,1.55457861062554,0.011268676102829167
3,1,1.5402203311996832,0.01597277578520908
3,2,1.553659699474563,0.011593290564737365
3,3,1.5463177877745395,0.013765120107942688
4,1,1.5377545719262664,0.016694561650519683
4,2,1.557251187641151,0.009825125373090637
4,3,1.5588258732997613,0.008864977912622755
5,1,1.547212935988035,0.01471159909063559
5,2,1.5542643561745066,0.012090952559699405
5,3,1.559986281723233,0.00860036334310949
6,1,1.5415518790454923,0.014800542478319998
6,2,1.556433333538016,0.010192852148769424
6,3,1.556922302444431,0.010231543407290433
7,1,1.5428332819531017,0.014232383793584198
7,2,1.5546709554815585,0.010405782818662173
7,3,1.5547749827759758,0.01327890417768606
8,1,1.5340252530151441,0.016544673099332954
8,2,1.5572352940606697,0.010387062039574868
8,3,1.55740332528781,0.009789084877271164
9,1,1.5400681784912225,0.01502824523119102
9,2,1.5549113897334343,0.012702989339871537
9,3,1.5568814553147943,0.011271719834788812
10,1,1.53806719790842,0.014820780321131065
10,2,1.5567496503589282,0.010110988843377753
10,3,1.5524674594746366,0.015716042778500066
11,1,1.5401580347009163,0.015330374125912902
11,2,1.5552490952601512,0.01086036640436221
11,3,1.551455574326493,0.013413793639938594
12,1,1.5374289369335599,0.015447975056388884
12,2,1.5570003594927575,0.0107754946944241
12,3,1.5553591672124996,0.010731774106350086
13,1,1.5375958164309336,0.015838629207440856
13,2,1.5540407405359706,0.012401617219815383
13,3,1.5550750643321045,0.011265163125597439
14,1,1.5390152469851304,0.014989994585597587
14,2,1.5558805647072995,0.01017651372673409
14,3,1.55428496788744,0.011546180345209853
15,1,1.5410465932536836,0.01374681339054037
15,2,1.557010662521003,0.009461405380195999
15,3,1.5576853981949257,0.010703929447180922
