"canonical_direction","fold","train","test"
1,1,0.999649478456071,0.969024322925366
2,1,0.999422473147999,0.815478692288832
4,1,0.998319199682071,0.970604882524152
3,1,0.995632362927183,0.895925514571322
5,1,0.997223349240948,0.745409724636045
6,1,0.994183290162322,0.203974041643285
1,2,0.999522625563699,0.992181413268326
2,2,0.999383127154871,0.829164886131147
4,2,0.998425768045888,0.935023767452355
3,2,0.995759493939879,0.783826997748248
5,2,0.997021402553585,0.774547790574716
6,2,0.994305533161645,0.297865169402004
1,3,0.999552749755894,0.87620911344289
2,3,0.999268786776379,0.966617015462304
4,3,0.998668858595344,0.439568129409137
3,3,0.998286170153418,0.834380442015265
5,3,0.997321124171776,0.966877869336351
6,3,0.99676052541491,0.33053571802271
1,4,0.999540748393543,0.976170358119751
2,4,0.999308468087731,0.973231264726378
4,4,0.99842213214372,-0.16243834319865
3,4,0.996092351839681,0.677041324908286
5,4,0.997029294480508,0.340080779273386
6,4,0.993401398986647,0.723374038308336
1,5,0.999520931193442,0.983920426012011
2,5,0.999348664926679,0.836104270267917
4,5,0.998362107557407,0.48839537774847
3,5,0.996426506013977,0.672896437859228
5,5,0.99610819052667,0.890543070173859
6,5,0.994063528269883,0.693428107181179
1,6,0.999711875776137,0.9472089069133
2,6,0.999248831389826,0.988819466215515
4,6,0.998366356482442,0.957799930038934
3,6,0.995925749662792,0.833315598757304
5,6,0.996995193103231,0.639459199445656
6,6,0.994057468980108,0.610943288940096
1,7,0.999534780038199,0.920725829072985
2,7,0.999360089940209,0.952155013310124
4,7,0.99837828819286,0.914486327808274
3,7,0.99484584299671,0.678804037434731
5,7,0.996950242117246,0.718097775938361
6,7,0.994533322049408,0.609178584595517
1,8,0.999522047687355,0.93269681509856
2,8,0.99936212560522,0.831082267775635
4,8,0.998118249978687,0.978564989225822
3,8,0.995428872726267,0.79990869179913
5,8,0.996933188133018,0.885618512122959
6,8,0.994389182186519,0.0635305738247615
1,9,0.999491579085982,0.982107042235305
2,9,0.999391806479711,0.788820432748388
4,9,0.998442484119663,0.797503352073184
3,9,0.995575912559731,0.567621061163685
5,9,0.995527166767598,0.751715610521222
6,9,0.994790516817174,0.905686546138812
1,10,0.999585817200529,0.959817358425243
2,10,0.999353157685636,0.987201748735427
4,10,0.998725449401736,0.031058033645624
3,10,0.995810065966903,0.835036441850947
5,10,0.99729349819035,0.229048723231361
6,10,0.994221774727889,0.818563626286197
1,11,0.999513351064076,0.99922397497563
2,11,0.999351910058623,0.784512045473259
4,11,0.998636430836424,0.908631680694249
3,11,0.996626570126453,0.690946591319802
5,11,0.997217679122678,0.527796658943692
6,11,0.994140411389149,0.665774953710458
1,12,0.999504783970965,0.972051111333376
2,12,0.999315169692334,0.925913699419937
4,12,0.998333663653855,0.873317625833704
3,12,0.995685981757602,0.328792899632534
5,12,0.997119417061652,-0.492212451050962
6,12,0.99391305619766,-0.355280990467003
1,13,0.999530272618692,0.909900923958428
2,13,0.999398866282371,0.992951056844049
4,13,0.998439719200824,-0.139875312109947
3,13,0.995786880992191,0.80452291394111
5,13,0.997031221238253,0.531953226899944
6,13,0.994326056641389,0.558254836762449
1,14,0.99951153258914,0.995380153545494
2,14,0.99926226564366,0.972009878823036
4,14,0.998290569265741,0.979963267466093
3,14,0.995805109924025,0.608717349528615
5,14,0.996117046990663,0.643929324508389
6,14,0.994165837529154,0.39051132118492
1,15,0.999508101908923,0.995273150345761
2,15,0.999314799725211,0.969535590698633
4,15,0.998384156051552,0.838471692273722
3,15,0.995557598983399,0.980353658770898
5,15,0.997157785738592,-0.162905919164452
6,15,0.99535756069411,0.69566253126882
