"canonical_direction","fold","train","test"
1,1,0.820738189514431,0.778462375205652
3,1,0.655324540501536,0.690612410618163
2,1,0.6508818300765,0.481205906146338
4,1,0.554639626671663,0.637304826762659
5,1,0.44325676744856,0.770653342765108
1,2,0.818657667452316,0.800254251242938
3,2,0.672088803360154,0.22235866774593
2,2,0.6480436972169,0.624875630821873
4,2,0.554416971014824,0.610149856390655
5,2,0.4623077860345,0.647370406075863
1,3,0.816583212684299,0.923707338822287
3,3,0.663945724604598,0.471773669903622
2,3,0.660104201369028,0.0592554289961756
4,3,0.569028909918969,0.0325941988884638
5,3,0.458776112600907,0.421657374313774
1,4,0.824616298176408,0.699312059551353
3,4,0.654351919058588,0.722599199668595
2,4,0.641035403822265,0.715709276685763
4,4,0.55843029796567,0.44168916453302
5,4,0.485794214904163,0.0781005497986037
1,5,0.829289414609698,0.55821854716663
3,5,0.666797516474126,0.230347383263714
2,5,0.647363296252888,0.490590905982581
4,5,0.581035505332243,-0.000526137672230778
5,5,0.474873133788255,0.252258071917266
1,6,0.818204711510381,0.755410901391221
3,6,0.671898873302995,0.297345142460813
2,6,0.62836621312979,0.545251051087935
4,6,0.565994876321101,-0.437716371938362
5,6,0.459957944785598,0.371730570691796
1,7,0.814044016314587,0.781238622887672
3,7,0.66233007305785,0.431157799786887
2,7,0.635600357785922,0.747867950643806
4,7,0.55285001609508,0.49522344476455
5,7,0.493093547903267,0.0194132201030981
1,8,0.811997730068615,0.901531310420267
3,8,0.668902771390116,0.303277202974791
2,8,0.648515819475821,0.404292523070937
4,8,0.573680612712393,0.426837787463698
5,8,0.454734835447976,0.72834929009879
1,9,0.819649560707156,0.728770721147588
3,9,0.675985826572781,0.126546132679519
2,9,0.655204314389422,0.195403596987208
4,9,0.55466945856656,0.675936885914116
5,9,0.465320013693265,0.516339602809564
1,10,0.817985892293434,0.851362823233502
3,10,0.677369328256202,0.00324145530946163
2,10,0.628036141490598,0.800271279259644
4,10,0.565037647402497,0.406930391585767
5,10,0.485493954463933,-0.291772674792611
1,11,0.819805085509837,0.75683392802994
3,11,0.674530049770922,0.43571642298922
2,11,0.651171603381449,0.195399960016787
4,11,0.56800605753962,0.317954548349719
5,11,0.476013585256407,0.340621506843395
1,12,0.815771588909797,0.877041891833185
3,12,0.667404160635162,0.354629317201548
2,12,0.616364550930168,0.851750997620884
4,12,0.561749450227545,0.456469871423163
5,12,0.482926813800903,0.0884359920731902
1,13,0.819919134076278,0.859088106429139
3,13,0.668234916202972,0.466681233014365
2,13,0.641850589577499,0.656882942973079
4,13,0.585871015219125,-0.140721582977838
5,13,0.485165880836559,0.152523962858826
1,14,0.816414169791111,0.852436558380731
3,14,0.665420862813131,0.530126013618551
2,14,0.648937378595505,0.407494877940379
4,14,0.561755918505267,0.32058084551335
5,14,0.486559560443981,0.258247812716595
1,15,0.825088446274744,0.608894636652529
3,15,0.658052081488569,0.650488109641289
2,15,0.66088641261112,0.378897701897713
4,15,0.558661715264939,0.58061374716496
5,15,0.478383014166407,0.373890922083335
