Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
MJ030-2-barcode69-umi103138bins-ubs-3,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella_A,Dokdonella_A immobilis,1.0
MJ030-2-barcode69-umi10524bins-ubs-48,Bacteria,Bdellovibrionota_473306,Bdellovibrionia,Bdellovibrionales,1-14-0-10-45-34,1-14-0-10-45-34,1-14-0-10-45-34 sp002778785,1.0
MJ030-2-barcode69-umi105692bins-ubs-4,Bacteria,Myxococcota_A_473307,Polyangia_463783,Haliangiales_463188,Haliangiaceae_463185,Unassigned,Unassigned,1.0
MJ030-2-barcode69-umi108458bins-ubs-4,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode69-umi112129bins-ubs-3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Rhizobiaceae,Unassigned,Unassigned,1.0
MJ030-2-barcode69-umi113395bins-ubs-3,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,SZUA-36,Unassigned,Unassigned,1.0
MJ030-2-barcode69-umi114126bins-ubs-3,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,70-9,67-14,67-14 sp001897355,1.0
MJ030-2-barcode69-umi114597bins-ubs-4,Bacteria,Actinomycetota,Acidimicrobiia_401430,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,Ilumatobacter_A coccineus_A,1.0
MJ030-2-barcode69-umi114629bins-ubs-3,Bacteria,Myxococcota_A_473307,Polyangia_463783,Nannocystales,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode69-umi117634bins-ubs-3,Bacteria,Myxococcota_A_473307,Polyangia_463783,Polyangiales,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode69-umi15554bins-ubs-36,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,RFPI01,RFPI01 sp009926205,1.0
