Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
MJ030-2-barcode65-umi6938bins-ubs-56,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,Parafilimonas terrae,1.0
MJ030-2-barcode65-umi70127bins-ubs-8,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,WHSN01,Unassigned,1.0
MJ030-2-barcode65-umi70241bins-ubs-8,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi7034bins-ubs-57,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,Parafilimonas terrae,1.0
MJ030-2-barcode65-umi70815bins-ubs-9,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi70918bins-ubs-9,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,JABFSC01,JABFSC01 sp009692435,1.0
MJ030-2-barcode65-umi71351bins-ubs-7,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi7218bins-ubs-57,Bacteria,Bdellovibrionota_473306,Oligoflexia,Oligoflexales,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi72351bins-ubs-7,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257,Bog-257 sp003152695,1.0
MJ030-2-barcode65-umi7247bins-ubs-54,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,Puia sp001898505,1.0
MJ030-2-barcode65-umi725bins-ubs-155,Bacteria,Bdellovibrionota_473306,FAC87,UBA2466,UBA2466,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi72631bins-ubs-7,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi73936bins-ubs-8,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi7447bins-ubs-54,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-16500,DSM-16500,Aquicella_A,Unassigned,1.0
MJ030-2-barcode65-umi7465bins-ubs-52,Bacteria,Acidobacteriota,Terriglobia,Versatilivoradales,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi74993bins-ubs-7,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi749bins-ubs-150,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,Parafilimonas terrae,1.0
