fold,cd,null_mean,null_sd
1,1,1.5013591283298973,0.03956986613893886
1,2,1.5275528557039213,0.030167438190886426
1,3,1.4896133948591308,0.04303817271939049
2,1,1.491802445025942,0.05023692644568218
2,2,1.5256508890829665,0.03566082802584205
2,3,1.4872878295366836,0.04180735224414606
3,1,1.5055099896617488,0.04123096290174341
3,2,1.520848046360829,0.02979084280020874
3,3,1.4903153059840735,0.04471028778506511
4,1,1.5161601404136589,0.03959204977368059
4,2,1.5154992569222012,0.03507862967725802
4,3,1.4892869416980663,0.04397532037596724
5,1,1.504845811559255,0.04148205522366597
5,2,1.5197364536402862,0.03686989991782632
5,3,1.4935769705972248,0.042710972720312816
6,1,1.5081289267506732,0.03787023877546284
6,2,1.52548591822231,0.03423047603937763
6,3,1.5037949196029823,0.04381246029843065
7,1,1.5059076410728223,0.04110419038328696
7,2,1.52717944463595,0.033505186460497514
7,3,1.4824058645508096,0.051409002596676384
8,1,1.5047595991387785,0.03996897481153025
8,2,1.5271229857282547,0.028427372786459574
8,3,1.4941068539685036,0.048755455891665564
9,1,1.482951084645828,0.04914005520010555
9,2,1.5266083077858814,0.03334369115067525
9,3,1.4865076747500947,0.04589622049592421
10,1,1.4840228902880124,0.04893745875889204
10,2,1.5229821864810373,0.034474564438661044
10,3,1.503111670400534,0.04366797386010081
11,1,1.497361375212357,0.05053934938725931
11,2,1.5265811339887345,0.03360175838243448
11,3,1.48812711994239,0.045036799915984464
12,1,1.4991445043739502,0.04440555279169259
12,2,1.5244600298433544,0.03798150929662865
12,3,1.4660712101188171,0.04724373741250916
13,1,1.499798303713239,0.039441888053032684
13,2,1.5255168202539438,0.03060310784347826
13,3,1.4935419917089265,0.04705161959893609
14,1,1.492598125714451,0.04297137905694871
14,2,1.526026552727289,0.03285884409905189
14,3,1.495940601965542,0.04390802404727402
15,1,1.515286281269578,0.039461472128521996
15,2,1.5107985787413731,0.0369102911277527
15,3,1.4851151641762905,0.04663063066445488
