"k","fold","lambda1","lambda2","canonical_direction","cor.train","cor.test"
15,10,1e-05,0,1,0.999999999999905,0.817693467022242
15,10,1e-05,0,2,0.999999999999989,0.726525304172772
15,10,1e-05,0,3,0.993009341161264,0.710470085905252
15,10,1e-05,0,4,0.999999999999964,0.714113055935496
15,10,1e-05,0,5,0.999999999999988,0.504388673161343
15,11,1e-05,0,1,0.999999999999901,0.797560326537029
15,11,1e-05,0,2,0.99999999999999,0.810046637691457
15,11,1e-05,0,3,0.993162742622587,0.679077770121309
15,11,1e-05,0,4,0.999999999999972,-0.079297687545759
15,11,1e-05,0,5,0.999999999999987,0.715577417857213
15,12,1e-05,0,1,0.999999999999894,0.881741865107249
15,12,1e-05,0,2,0.99999999999999,0.714952802832685
15,12,1e-05,0,3,0.992992049982199,0.703734571131944
15,12,1e-05,0,4,0.999999999999973,0.85177897734758
15,12,1e-05,0,5,0.999999999999988,0.40343020831725
15,13,1e-05,0,1,0.999999999999902,0.911625052853145
15,13,1e-05,0,2,0.99999999999999,0.54422264666349
15,13,1e-05,0,3,0.992748344639509,0.859136359265506
15,13,1e-05,0,4,0.99999999999997,0.822700264995036
15,13,1e-05,0,5,0.999999999999991,0.306906514410426
15,14,1e-05,0,1,0.999999999999991,0.644683168983648
15,14,1e-05,0,2,0.999999999999991,0.747194867163479
15,14,1e-05,0,3,0.999999999999985,0.437941722420076
15,14,1e-05,0,4,0.999999999999989,0.819997227104917
15,14,1e-05,0,5,0.99999999999999,0.216969132403912
15,15,1e-05,0,1,0.999999999999908,0.862136630764821
15,15,1e-05,0,2,0.999999999999992,0.713933375725082
15,15,1e-05,0,3,0.992927761229689,0.786370858358643
15,15,1e-05,0,4,0.999999999999975,0.749175488572667
15,15,1e-05,0,5,0.999999999999989,0.747635556500499
15,1,3.16227766016838e-05,0,1,0.999999999999085,0.868003229581534
15,1,3.16227766016838e-05,0,2,0.999999999999898,0.821824865905408
15,1,3.16227766016838e-05,0,3,0.993042161176039,0.603186315120297
15,1,3.16227766016838e-05,0,4,0.999999999999604,0.818417582705022
15,1,3.16227766016838e-05,0,5,0.999999999999885,0.653274723171017
15,2,3.16227766016838e-05,0,1,0.999999999998872,0.913892218743352
15,2,3.16227766016838e-05,0,2,0.999999999999878,0.379249859805617
15,2,3.16227766016838e-05,0,3,0.992959310802324,0.855478044252251
15,2,3.16227766016838e-05,0,4,0.999999999999766,0.43639626088019
15,2,3.16227766016838e-05,0,5,0.999999999999871,0.566514666692821
15,3,3.16227766016838e-05,0,1,0.999999999999913,0.932695732128291
15,3,3.16227766016838e-05,0,2,0.999999999999909,0.708838153505505
15,3,3.16227766016838e-05,0,3,0.999999999999854,0.202186461647855
15,3,3.16227766016838e-05,0,4,0.999999999999891,0.328631293369367
15,3,3.16227766016838e-05,0,5,0.999999999999895,0.705061498416406
15,4,3.16227766016838e-05,0,1,0.999999999999114,0.881928601822567
15,4,3.16227766016838e-05,0,2,0.999999999999905,0.687588150268609
15,4,3.16227766016838e-05,0,3,0.993079704264611,0.665694665122862
15,4,3.16227766016838e-05,0,4,0.99999999999969,0.799825947000614
15,4,3.16227766016838e-05,0,5,0.999999999999866,0.694483150205444
15,5,3.16227766016838e-05,0,1,0.999999999998943,0.659335546894422
15,5,3.16227766016838e-05,0,2,0.99999999999991,0.526738600456356
15,5,3.16227766016838e-05,0,3,0.993183388949265,0.318458891803455
15,5,3.16227766016838e-05,0,4,0.999999999999714,0.450271923558656
15,5,3.16227766016838e-05,0,5,0.999999999999901,-0.00860234310559379
15,6,3.16227766016838e-05,0,1,0.999999999999393,0.402352218868229
15,6,3.16227766016838e-05,0,2,0.999999999999899,0.851586678569297
15,6,3.16227766016838e-05,0,3,0.992443654114915,0.64109974401337
15,6,3.16227766016838e-05,0,4,0.999999999999792,0.596967142338148
15,6,3.16227766016838e-05,0,5,0.999999999999885,0.288884903123296
15,7,3.16227766016838e-05,0,1,0.99999999999913,0.898252176970719
15,7,3.16227766016838e-05,0,2,0.999999999999903,0.771259786895307
15,7,3.16227766016838e-05,0,3,0.992648672106116,0.85671737474311
15,7,3.16227766016838e-05,0,4,0.999999999999688,0.696560520913315
15,7,3.16227766016838e-05,0,5,0.999999999999871,0.797585096588364
15,8,3.16227766016838e-05,0,1,0.999999999998944,0.948708214121398
15,8,3.16227766016838e-05,0,2,0.99999999999989,0.691696881345308
15,8,3.16227766016838e-05,0,3,0.993171873987267,0.713974213828716
15,8,3.16227766016838e-05,0,4,0.999999999999641,0.827069791120635
15,8,3.16227766016838e-05,0,5,0.999999999999885,0.596053959139473
15,9,3.16227766016838e-05,0,1,0.999999999998932,0.843994848808339
15,9,3.16227766016838e-05,0,2,0.999999999999904,0.648776534549317
15,9,3.16227766016838e-05,0,3,0.99321379482413,0.681508065541412
15,9,3.16227766016838e-05,0,4,0.9999999999997,0.671781514560278
15,9,3.16227766016838e-05,0,5,0.999999999999889,0.862963600920933
15,10,3.16227766016838e-05,0,1,0.999999999999047,0.817695714324427
15,10,3.16227766016838e-05,0,2,0.999999999999889,0.726524440608508
15,10,3.16227766016838e-05,0,3,0.993009341162136,0.710468232434271
15,10,3.16227766016838e-05,0,4,0.999999999999638,0.71411283554319
15,10,3.16227766016838e-05,0,5,0.999999999999879,0.504389104608611
