fold,cd,null_mean,null_sd
1,1,1.537798179466427,0.025696938634057736
1,2,1.4942303800296268,0.03598876919592795
1,3,1.5233529165935538,0.03293015708791038
1,4,1.5364464585462057,0.02631307952700446
2,1,1.5384035742601858,0.024226015813098908
2,2,1.482368583175489,0.03982627849570756
2,3,1.538421026159005,0.024221886176144278
2,4,1.5173434986185304,0.034062677396559875
3,1,1.5336956987904207,0.02728765551065091
3,2,1.5012520169687809,0.04036841805307776
3,3,1.5304059169353452,0.03248480101527463
3,4,1.52815957364892,0.029464733693103685
4,1,1.5307321492048567,0.03136707877373199
4,2,1.4895340551083298,0.037324184884210174
4,3,1.5397388344854128,0.022377218708014682
4,4,1.5388322658314886,0.022996202014634298
5,1,1.5421335376130108,0.022041397002635164
5,2,1.4997850472729672,0.03468217832003094
5,3,1.5343167165146547,0.029142442115218832
5,4,1.5369531769980116,0.027120293422900312
6,1,1.5361800891588773,0.024143703397282123
6,2,1.4995099511075598,0.035071501108725506
6,3,1.5412184950929555,0.021511223514329166
6,4,1.5429664644903824,0.01863184242382913
7,1,1.5378909760446349,0.024392997933855895
7,2,1.485288731816471,0.036402418228952585
7,3,1.530569011593773,0.028737139669712246
7,4,1.535470067036704,0.02872462229303788
8,1,1.5372431056369253,0.02381543561110441
8,2,1.4882358714701251,0.036513804439125296
8,3,1.537660559523458,0.0249318016847219
8,4,1.5229321628178076,0.03469954166484468
9,1,1.5403505164846925,0.02272203643030506
9,2,1.4928115503286161,0.04150683753370687
9,3,1.5195089661806327,0.036381998518816294
9,4,1.5351631865102275,0.024697613532940078
10,1,1.534752735122987,0.02241054521978207
10,2,1.5164306370612892,0.033336274924864955
10,3,1.4921893280241403,0.036434335524002756
10,4,1.5248228565071935,0.02930159682332174
11,1,1.5406538601348188,0.026624160901484877
11,2,1.492998463005791,0.036538193681191274
11,3,1.5225903776743275,0.034229227954789006
11,4,1.537367301089895,0.021937951113302996
12,1,1.5406340443993036,0.019287766682238902
12,2,1.5098778690191785,0.03197328980105876
12,3,1.500905329056722,0.03679269868986704
12,4,1.5160819239895353,0.03379647379455879
13,1,1.5365024106309542,0.023269520967989586
13,2,1.4943472267099582,0.03733677407903552
13,3,1.5370942237653564,0.025139962335508272
13,4,1.522961065535984,0.03208707593427614
14,1,1.5350847612196517,0.02994456685202886
14,2,1.4967837374872592,0.04258451184174523
14,3,1.532449017281531,0.02630221481165678
14,4,1.5393643246143518,0.022693894908185658
15,1,1.538303732089697,0.023857895208164625
15,2,1.4933704716201894,0.038758537784529534
15,3,1.5405188420358584,0.021565289496907444
15,4,1.5298454662169976,0.028889542842555484
