fold,cd,null_mean,null_sd
1,1,1.4817714145893601,0.04302249240300944
1,2,1.509854802482659,0.03781280392788553
1,3,1.5159979402776003,0.03970548440859807
2,1,1.472208197895946,0.04233790643711046
2,2,1.5142784119618542,0.03452825302871736
2,3,1.5131391824694307,0.0383164711977884
3,1,1.4756811365937046,0.04010351585831314
3,2,1.5159917369950169,0.03281041969112693
3,3,1.5010226383199732,0.03466009605576639
4,1,1.4806629098260433,0.04515741927095624
4,2,1.5068859998463824,0.0393082642051924
4,3,1.5000696244222733,0.04199949555515548
5,1,1.4919308657214583,0.03794220505026979
5,2,1.5232922778040379,0.03634790202432338
5,3,1.5068354433087134,0.04061258276522068
6,1,1.483642109658768,0.04757491008645101
6,2,1.519028276241781,0.029558626131788012
6,3,1.5141859073584625,0.03686823521346937
7,1,1.4803977742936407,0.04055899481289046
7,2,1.501630875873081,0.042086211981229533
7,3,1.4980342269315297,0.03777682268460193
8,1,1.4825883539875027,0.0416291692223884
8,2,1.512994145827001,0.04033053017378263
8,3,1.5204819290178053,0.03646715253681354
9,1,1.4680565792195186,0.04332072603046198
9,2,1.505546198651134,0.03819576073275255
9,3,1.516417174549415,0.03471010731259191
10,1,1.4765951383666962,0.045141521739007276
10,2,1.5285149991580218,0.02830445544979636
10,3,1.5073307931319118,0.03766452874830133
11,1,1.4679889875580254,0.035616106100829346
11,2,1.5057954838414724,0.03690007730402979
11,3,1.494785581776039,0.040940473986764196
12,1,1.4831735862602309,0.03550358130747661
12,2,1.5009661897436208,0.04296740309912055
12,3,1.507997609069197,0.037178419868534734
13,1,1.4863803170213554,0.04598760675464623
13,2,1.5153207277423757,0.037341889235130474
13,3,1.5046687903219422,0.03787001491093548
14,1,1.4766826324869782,0.0425956651535384
14,2,1.517724868347083,0.035594645078479675
14,3,1.5070240704116145,0.03461272767704372
15,1,1.4884950102744914,0.050159126631458335
15,2,1.5068522260476123,0.04060508935336473
15,3,1.5016362545815658,0.042586829372647565
