"canonical_direction","fold","train","test","seed"
2,1,0.468964124604737,-0.103594556308182,0
3,1,0.458333884273748,0.750061139877379,0
4,1,0.579536424514709,-0.144709129577082,0
5,1,0.641367066960617,-0.0603150696255974,0
6,1,0.496152523822192,0.257940303853721,0
1,1,0.547687162933175,0.921247660120939,0
2,2,0.462287391313167,0.50470897352892,0
3,2,0.46641968987953,0.00540258542943014,0
4,2,0.570846656179679,-0.508368704959195,0
5,2,0.54563730978818,0.470711165689925,0
6,2,0.594121374616366,0.185777230074657,0
1,2,0.504006393818798,0.22815282276203,0
2,3,0.458424237681448,-0.120469499324798,0
3,3,0.496188556180637,-0.344073221191221,0
4,3,0.529317799452449,-0.305608753130759,0
5,3,0.548559839174393,-0.281884696188542,0
6,3,0.530346512863357,-0.388639959095291,0
1,3,0.580403377294864,0.168198257172945,0
2,4,0.443992292662724,-0.101876790194615,0
3,4,0.556212980783359,-0.45890212645883,0
4,4,0.491264245961716,0.608110393738234,0
5,4,0.589531174914969,-0.148004119949795,0
6,4,0.616352444518845,-0.210112498976187,0
1,4,0.463927486001651,-0.190909231929854,0
2,5,0.43609512929096,-0.0899002399630153,0
3,5,0.566940280875206,-0.257239312622154,0
4,5,0.578280464656799,-0.0865258498848866,0
5,5,0.583387816774912,0.275353307043772,0
6,5,0.55451635936151,0.345902096450539,0
1,5,0.528696826727899,-0.253357288760998,0
2,6,0.445912247852813,0.167748739837941,0
3,6,0.488750457885667,-0.367873529511973,0
4,6,0.532062546190503,-0.0996422207509619,0
5,6,0.604925775774208,0.125256430559544,0
6,6,0.554289663872627,-0.381957070882231,0
1,6,0.480365178172923,0.00840139872943009,0
2,7,0.477368613989228,-0.816810440633915,0
3,7,0.49995570961898,0.182352831728038,0
4,7,0.589736689397344,0.00453007509304483,0
5,7,0.598613532245368,-0.286820967327428,0
6,7,0.571951520211575,-0.0398643589039965,0
1,7,0.484167572140895,0.0160686179816621,0
2,8,0.457088266054747,0.426933589334122,0
3,8,0.463716494064069,0.0365556866960019,0
4,8,0.536662332763979,0.540632807450313,0
5,8,0.532876549409614,-0.241295543615,0
6,8,0.662927508746006,0.167148578412795,0
1,8,0.514219731897366,0.161256137733505,0
2,9,0.452899780602946,0.301125691457776,0
3,9,0.468806158870207,-0.260321186317217,0
4,9,0.582962235763209,0.192054304474743,0
5,9,0.540969816697567,-0.0955617658032245,0
6,9,0.565717355336338,-0.350768800995616,0
1,9,0.514659112017389,-0.0932423685642787,0
2,10,0.466878007438326,-0.0405403382694514,0
3,10,0.45956158013935,0.410587369478675,0
