fold,cd,null_mean,null_sd
1,1,1.520882406967358,0.03917546715825909
1,2,1.528150611849623,0.03177931057322096
1,3,1.4550551941650183,0.05391190372642381
1,4,1.5101922697862442,0.04097695769995548
2,1,1.5205970133648294,0.037881970970041985
2,2,1.5232254720434573,0.034310266685431294
2,3,1.4639326867287503,0.05094926511669092
2,4,1.4963526394826192,0.040463729318396376
3,1,1.5226739551055215,0.036899638222193484
3,2,1.5245299928583953,0.033471900086818225
3,3,1.4729169969704117,0.04936799285771858
3,4,1.506382083371481,0.037221851084587795
4,1,1.5243593948611918,0.03883580378689271
4,2,1.5192286625542355,0.0384916864306428
4,3,1.4696224910890574,0.04980308656967277
4,4,1.5042960600137527,0.04453609506018538
5,1,1.519050599269784,0.03675398064213316
5,2,1.5248135305612662,0.029545035726310082
5,3,1.4757358912586431,0.04703744297812134
5,4,1.5067312968104574,0.04446464437518135
6,1,1.510003164413015,0.04129574472845829
6,2,1.527929611779354,0.033242869305141774
6,3,1.4617225477442894,0.04957270487777266
6,4,1.5208701834415985,0.034646722285437866
7,1,1.5269370579465902,0.034932562851875466
7,2,1.52856067896681,0.028602982609186724
7,3,1.4617812649517097,0.049388769902206246
7,4,1.4919352447005496,0.05276080838386989
8,1,1.523007352306696,0.03404456673422123
8,2,1.522701196130895,0.0381594545601641
8,3,1.4717063848837442,0.04477719913924484
8,4,1.4899922387903586,0.04658313800236335
9,1,1.528022746160047,0.034382559734869554
9,2,1.5296183370315846,0.033967636692638484
9,3,1.4493567555516333,0.04643835049997014
9,4,1.5083134380823762,0.04337194104639291
10,1,1.522346916414248,0.0416928957699151
10,2,1.531166049530866,0.029940397873017367
10,3,1.4668741904316327,0.04957226358622532
10,4,1.48541211194831,0.051174960886542366
11,1,1.527755510946771,0.02829446665731225
11,2,1.5256989134066283,0.032469241179401705
11,3,1.456697722539369,0.050297660006572
11,4,1.4968407535097934,0.04521725122623659
12,1,1.5170642265725003,0.03852278593295087
12,2,1.5019790438619485,0.04240887753360096
12,3,1.4522666537672646,0.04776008389625738
12,4,1.4800327696004985,0.04872218492919942
13,1,1.526333889708472,0.03537500402641318
13,2,1.5218653286172565,0.034807877708705796
13,3,1.466552746527241,0.052857992402874206
13,4,1.5028215239134886,0.045115990246210595
14,1,1.519012360894598,0.039726022272679955
14,2,1.514595195737106,0.04093797415277458
14,3,1.4752079803701417,0.04451956399512098
14,4,1.4906712314379604,0.04760105608848813
15,1,1.5242150944271886,0.036440224717294495
15,2,1.5148771513379569,0.03569977394494029
15,3,1.4694290073298422,0.05044333998253859
15,4,1.4988136067111046,0.0409701475782524
