fold,cd,null_mean,null_sd
1,1,1.521688086905615,0.026362637841292808
1,2,1.5318272033838567,0.022384988549470623
1,3,1.5377466844488243,0.02680701580011405
2,1,1.5027753477018406,0.0329414333204984
2,2,1.540146163703899,0.023994018385889517
2,3,1.5342226762647047,0.02484115603029479
3,1,1.5085512674959722,0.028608341825965465
3,2,1.5375286375081605,0.022419963318988188
3,3,1.5219759817044005,0.028789395817011617
4,1,1.5151629020555077,0.02808696262907019
4,2,1.526792048599047,0.028365329746358376
4,3,1.536205738327724,0.027239432307370155
5,1,1.518881002860345,0.026317752665997694
5,2,1.539192400198195,0.02053685483063518
5,3,1.544542134705251,0.0195825534571483
6,1,1.515458985878726,0.03100720147278526
6,2,1.5481440126435675,0.016260528600694577
6,3,1.5370111001098474,0.024865571425108143
7,1,1.5187526852934563,0.028344722926776606
7,2,1.5318694710994496,0.02473631216789865
7,3,1.5316018293263771,0.030147081444095655
8,1,1.5144058650814851,0.03120039623183838
8,2,1.5374318191727938,0.023620003716112486
8,3,1.5391201814094022,0.02317914173930515
9,1,1.5188059460788021,0.035946553058981236
9,2,1.5297976748657491,0.02697390191943831
9,3,1.534744509911581,0.02414409694664268
10,1,1.4949924884443007,0.03235147327642151
10,2,1.5370393555045636,0.02346916046643983
10,3,1.530515307959007,0.029156919645795958
11,1,1.5097888055788506,0.028576616497494895
11,2,1.5308946845939972,0.026537371539981796
11,3,1.5279656907430383,0.02712738310934427
12,1,1.5161483432686682,0.031692217561245205
12,2,1.528080711653108,0.027600076857428536
12,3,1.5368337625353483,0.0240437172376607
13,1,1.5095139655408107,0.033993222074636155
13,2,1.5404765981986894,0.018796596425242524
13,3,1.5375252214640627,0.025362422613307123
14,1,1.5145857537407654,0.029820284137518
14,2,1.5447662162358056,0.021784199100539404
14,3,1.520614184825659,0.029188931879161776
15,1,1.5213074694079936,0.0273513387886363
15,2,1.5310703240660108,0.02583672676530389
15,3,1.5381647718024583,0.021553511603026747
