"sample_id","latitude","longitude"
"1",-26.73333333,-54.68333333
"2",64.8,-148.25
"4",39.09,-96.57
"8",35,-83.5
"10",42.53,-72.19
"11",35,-83.5
"12",43.94,-71.75
"14",42.4,-85.4
"15",64.85,-147.84
"16",42.4,-85.4
"17",39.99,-105.37
"18",18.3,-65.8
"19",39.09,-96.57
"20",45.4,-93.2
"21",45.4,-93.2
"22",64.85,-147.84
"23",18.3,-65.8
"24",35.96666667,-79.08333333
"25",-29.81161,30.71573
"26",-27.734896,151.139517
"27",-31.782138,117.610853
"29",-29.67,30.4
"30",36.871944,-86.70167
"31",41.2,-101.63
"32",46.631345,10.372252
"33",39.070856,-96.582821
"34",48.46,-123.38
"37",41.78506667,-93.38538333
"38",31.48,-96.88
"39",40.15,-95.54
"40",40.16,-96.52
"41",40.87,-96.81
"42",41.61,-97.11
"43",42.88,-95.58
"44",43.51,-93.66
"45",43.55,-96.97
"46",44.04,-96.78
"48",47.05,-96.43
"49",39.1,-96.6
"50",9.1565,-79.7442
"51",9.16093,-79.7427
"52",9.15761,-79.771875
"53",-12.63333333,-71.23333333
"54",9.15125,-79.8553
"55",45.573646,-111.00378
"57",45.573646,-111.00378
"58",45.573646,-111.00378
"59",45.573646,-111.00378
"60",45.573646,-111.00378
"62",45.573646,-111.00378
"63",45.573646,-111.00378
"64",45.573646,-111.00378
"65",34.33333333,-106.7333333
"66",44.8,-96.57
"67",68.63333333,-149.5833333
"68",9.16176,-79.7453
"69",-34.7118,146.212
"70",-34.7133,146.197
"71",-33.3576,145.759
"72",-35.3443,144.525
"73",-34.5205,145.786
"74",-34.6507,146.347
"75",-35.4101,144.816
"76",-35.4128,144.833
"77",-34.5303,146.187
"78",-35.504,144.878
"79",-35.494,144.827
"80",-35.4895,144.819
"81",-33.4569,145.582
"82",-33.4563,145.596
"83",-34.5578,146.38558
"84",-33.35119,145.758459
"85",-33.47484,145.55909
"86",-33.346019,145.747545
"87",-31.8654,145.25161
"88",-31.844558,145.261715
"89",-32.633899,145.591506
"90",-32.640211,145.613197
"91",-33.99013,145.765813
"92",-33.984529,145.774749
"93",-33.993636,145.698279
"94",-33.797051,145.631861
"95",-33.794211,145.637641
"96",-34.798363,146.481861
"97",-34.825074,146.490617
"98",-34.76219,145.992029
"99",-34.747744,145.90637
"100",-34.811983,146.465998
"101",-33.8422,145.5878
"102",-34.7974,145.88378
"103",-32.62636,145.67999
"104",-31.875593,145.2644
"105",-34.554395,145.97622
"106",-34.557097,145.96507
"107",-34.556716,145.829136
"108",-34.56556,145.788243
"109",-34.538107,145.779652
"110",-35.934712,145.891286
"111",-35.950539,145.87919
"112",-35.953218,145.74798
"113",-35.9228,145.685582
"114",-35.884732,145.6486
"115",-35.864302,145.601954
"116",-35.358242,144.614926
"117",-35.351175,144.580937
"118",-35.329233,144.574145
"119",-35.350591,144.647202
"120",-34.5239,145.70554
"121",-35.3858,144.5354
"122",-35.3523,144.52706
"123",52.04949371,-2.285400608
"124",52.17127185,-2.067171822
"125",52.243108,-2.0793194
"126",52.249886,-2.0077184
"127",52.281878,-2.0332443
"149",50.808636,-3.875976
"151",50.835199,-4.427518
"165",51.814047,-2.0036085
"172",-41.807778,-69.676417
"174",-41.253333,-70.080944
"175",-41.0335,-70.524528
"176",-34.204296,142.556909
"177",-34.24777,142.481679
"178",-34.018527,142.508839
"179",-33.960183,142.460103
"180",-33.931135,142.686154
"181",-31.556111,146.309722
"182",-31.8575,147.707778
"183",-29.311377,-71.244902
"184",-29.749902,-71.250724
"185",-30.662263,-71.663635
"186",-31.199813,-71.585444
"187",49.262694,119.177417
"188",49.494333,118.403778
"189",49.525333,117.272139
"190",49.031528,116.994528
"191",48.609778,116.786556
"192",48.223083,116.015833
"193",36.696167,58.6695
"194",37.371111,56.560944
"195",37.429083,58.109556
"196",31.35779,34.820866
"197",22.246529,-99.655561
"198",23.601688,-100.943528
"199",22.644511,-100.420636
"200",22.64831,-99.894557
"201",23.254883,-101.055406
"202",23.204697,-101.273809
"203",23.737999,-101.248559
"204",22.352438,-102.455579
"205",33.052487,-2.422588
"206",34.159182,-2.372904
"207",34.430867,-2.192604
"208",33.976574,-3.373502
"209",34.473045,-3.638859
"210",34.309672,-1.999301
"211",33.932621,-3.558751
"212",33.06768,-2.728708
"213",34.625548,-3.464915
"214",39.048208,-2.2306
"215",40.068228,-2.900725
"216",40.208781,-3.419164
"217",39.992036,-3.618947
"218",37.821156,-1.673747
"219",39.207539,-2.514767
"220",38.588606,-1.199478
"221",40.354792,-2.877436
"222",38.791855,-1.717695
"223",37.721332,-1.836988
"224",37.726728,-1.784601
"225",38.308579,-0.963246
"226",40.36936,-3.388677
"227",37.593066,-1.232379
"228",39.538668,-1.802287
"229",38.065532,-1.527039
"230",39.127509,-2.345141
"231",40.018028,-2.879354
"232",37.6339,-2.039614
"233",34.494253,9.647121
"234",35.167767,8.673783
"235",33.52157,9.97436
"236",35.160036,9.116646
"237",34.956452,9.717897
"238",32.98347,10.498595
"239",37.113448,-112.552224
"240",38.173514,-109.710268
"241",37.581928,-109.910049
"242",37.086092,-111.696845
"243",37.507278,-112.02167
"244",37.730413,-109.413583
"245",38.003108,-110.516686
"246",36.685466,-111.856829
"247",33.754262,-115.79572
"248",33.750666,-115.811803
"249",9.666497,-69.946911
"250",-33.844892,147.388211
"251",-34.357823,146.208538
"252",-34.415466,146.308989
"253",-34.2837222222222,146.576361111111
"255",-34.435437,147.422757
"256",-34.743692,149.88757
"257",-33.654888,150.862162
"258",-33.621635,150.771211
"259",-34.362568,148.919106
"260",-33.981005,148.947758
"261",-33.833655,148.609224
"262",-33.505705,148.172742
"263",-33.729918,148.203347
"264",-33.324038,148.164342
"265",-34.506477,150.238876
"266",-34,145.726367
"267",-34.254023,146.071294
"268",-33.909637,150.99395
"270",-34.127508,142.0837778
"271",-34.158906,142.20495
"274",-54.9588888888888,-67.6325
"275",-54.9718611111111,-67.6327777777777
