fold,cd,null_mean,null_sd
1,1,1.389553816109771,0.09140592555219008
1,2,1.4396657037104141,0.0808010458037813
1,3,1.4456058096827042,0.0783733036056308
2,1,1.4156962123553332,0.07550254280380954
2,2,1.452727459079451,0.07691120871853611
2,3,1.4180761026053739,0.0811549093636554
3,1,1.4204848339590945,0.09414222941837953
3,2,1.4345735099714871,0.08316752441319009
3,3,1.428194844449739,0.08048734715481169
4,1,1.4326969479165153,0.09072769461905152
4,2,1.4540875228482484,0.0836519715059264
4,3,1.3981048098752367,0.08584141194943073
5,1,1.4314751753779362,0.08234284093339303
5,2,1.4675183426466083,0.0661108926506918
5,3,1.451094895203222,0.07658054689931758
6,1,1.4119419570401315,0.0902776165928824
6,2,1.4497667493295012,0.07303323872037588
6,3,1.41480491426062,0.08530652770912953
7,1,1.4213238495905216,0.08106344688602347
7,2,1.4470302826654915,0.07652173670165976
7,3,1.401100807258616,0.08423092224704466
8,1,1.433932327834,0.08469231169118868
8,2,1.4516199387707418,0.06756721543872003
8,3,1.4223419163667828,0.07230685308232995
9,1,1.3799715482404062,0.09216931790927861
9,2,1.459614112458011,0.0761107285802789
9,3,1.463363184149642,0.08245008166964873
10,1,1.4148277053065768,0.0831745934454831
10,2,1.4609792542487625,0.07524964283811893
10,3,1.3947579384903506,0.09419719318136902
11,1,1.4250173560126953,0.0818571287425998
11,2,1.4211911402076465,0.07911763687052349
11,3,1.4213453690332962,0.08066645301670267
12,1,1.4258806795217431,0.09110520119797012
12,2,1.4461168494113987,0.07672729058382895
12,3,1.4152869038868408,0.08322486712058022
13,1,1.424869595685938,0.08488068285323412
13,2,1.4569616152171092,0.08291238193852044
13,3,1.4166289083188512,0.08126555954753446
14,1,1.4192980845501557,0.08563437082075435
14,2,1.4629666210639574,0.06903601371340255
14,3,1.4401868010198653,0.07491669061430307
15,1,1.3932144620243034,0.08764451670767333
15,2,1.4411853510318848,0.07549927962969548
15,3,1.3944321756520415,0.07909419483483954
