"canonical_direction","fold","train","test"
1,1,0.359766563825521,0.399768426625385
2,1,0.113142031816364,0.290362933036692
1,2,0.368544503400782,0.319278627186653
2,2,0.067878982370343,0.190191732645183
1,3,0.383185586450272,0.357168829504143
2,3,0.0419040135536841,0.408495132966962
1,4,0.37477691525546,NA
2,4,0.0678074235245299,0.241200468993487
1,5,0.375044967632591,0.486663245734764
2,5,0.0936128797707067,0.256463896765724
1,6,0.3599324116669,0.296365146400528
2,6,0.0604346839471694,0.0806961625217603
1,7,0.376923077763493,NA
2,7,0.0697282660639058,0.0948622109309356
1,8,0.364642463080901,0.44024253048741
2,8,0.0534258182890063,0.19076158839724
1,9,0.367131363262988,NA
2,9,0.0679199128817941,0.208871956278089
1,10,0.347409928611206,0.547146387242869
2,10,0.0851293951401102,0.340502924424083
1,11,0.34453110300471,0.580004191956587
2,11,0.0772731281338322,0.122306201499475
1,12,0.356428763649416,0.618302601737143
2,12,0.0920235402686007,0.339214824059386
1,13,0.369364697063691,0.24570284144352
2,13,0.0696727040532566,0.276857015988916
1,14,0.37223132082415,0.560380333343876
2,14,0.0701684786186915,0.635094094399186
1,15,0.371126947996271,NA
2,15,0.0667299538063037,0.0965036470505063
