"canonical_direction","n_folds","n_folds_below_null","p_value","null_mean","significant"
1,15,0,0,0.303370276131186,TRUE
2,15,0,0,0.303370276131186,TRUE
3,15,0,0,0.303370276131186,TRUE
4,15,3,0.2,0.303370276131186,FALSE
5,15,3,0.2,0.303370276131186,FALSE
6,15,4,0.266666666666667,0.303370276131186,FALSE
