canonical_direction,fold,lambda
3,1,0.8863515087183119
3,2,0.8741024189492896
3,3,0.8318655933144747
3,4,0.893512783903816
3,5,0.9367922746305986
3,6,0.8815349307152939
3,7,0.8766021922071698
3,8,0.8716526655270485
3,9,0.8866010668953203
3,10,0.8888932481611117
3,11,0.9143510632950713
3,12,0.8821319844925484
3,13,0.8845112277853131
3,14,0.8834241331050249
3,15,0.8910591666635042
