"canonical_direction","fold","train","test"
1,1,0.90667462321174,0.900504230630253
3,1,0.79592040222021,0.718990970502965
2,1,0.850111541753635,0.827791378654845
5,1,0.727378969019037,0.541522394464642
4,1,0.755642639379119,0.703413599483126
1,2,0.906100042957729,0.908574733493686
3,2,0.837598443841517,0.341704831786005
2,2,0.813210243216195,0.369117770845935
5,2,0.738910055554858,0.571993826021655
4,2,0.756338208351698,0.779226221606849
1,3,0.906894145591268,0.947334905354928
3,3,0.804245883093163,0.420667202185868
2,3,0.844250190322755,0.481087077298495
5,3,0.724295170781197,0.0155354180983895
4,3,0.789268570061799,0.738468195959418
1,4,0.906701886130954,0.908987936903778
3,4,0.818653470530243,0.750268115328675
2,4,0.821309058940072,0.790495944912373
5,4,0.72849134524614,0.634950442012101
4,4,0.757191978817633,0.344432422986109
1,5,0.92056187986158,0.670526409702959
3,5,0.803881337892469,0.167573400315238
2,5,0.847172839463063,0.584799432421826
5,5,0.737975040585836,0.084658308385572
4,5,0.776859826586551,0.16164941655222
1,6,0.911973952676594,0.809892264125229
3,6,0.7897044533972,0.595053716340567
2,6,0.853360570331738,0.74934043398226
5,6,0.766620605943273,0.336239585593664
4,6,0.752634554083057,0.125644776309781
1,7,0.901204548689391,0.945955023821881
3,7,0.814641461380482,0.795560474516956
2,7,0.831362720436365,0.7493293251172
5,7,0.729614308377897,0.529695846106326
4,7,0.754336515307209,0.462785189966393
1,8,0.902734889382009,0.952760993021705
3,8,0.82329696163444,0.594031733107867
2,8,0.803625811744512,0.726060344340185
5,8,0.721550213519791,0.471929492847683
4,8,0.775315407515413,0.808005062160353
1,9,0.909917062925187,0.773407608178696
3,9,0.795318616084269,0.670152452258937
2,9,0.853190370661583,0.266468179714482
5,9,0.724068692018606,0.512984492054827
4,9,0.778764298298401,0.706798036657644
1,10,0.906508496927737,0.925807443082574
3,10,0.783812423254969,0.441399094783875
2,10,0.873345837421423,0.756271786949228
5,10,0.721159379794909,0.353863793037627
4,10,0.771075548111029,0.596908044700016
1,11,0.909382484176492,0.817468450674782
3,11,0.79529786423425,0.220657591549011
2,11,0.856967894936834,0.642267952853248
5,11,0.726961285025268,0.459356072505153
4,11,0.762011614435322,0.776624714040225
1,12,0.906595757628465,0.924773469232373
3,12,0.86637539408177,0.679345482908224
2,12,0.77212017826515,0.763875090605922
5,12,0.725824822547157,0.431039955936287
4,12,0.77530898052838,0.519594878248778
1,13,0.904386510683354,0.925707803386032
3,13,0.827486842366393,0.551095058687187
2,13,0.811632421748172,0.82222760509516
5,13,0.724400843034067,0.394587290820745
4,13,0.779065650159268,0.277206902998865
1,14,0.911647786407578,0.731173351574681
3,14,0.866105846635396,0.667002620473343
2,14,0.774991116107849,0.774807488783531
5,14,0.742503040064575,0.598073208373543
4,14,0.770467830941357,0.146192223050048
1,15,0.908852738539336,0.836370913485526
3,15,0.816513747935596,0.821781978754776
2,15,0.826396902755904,0.610601252200237
5,15,0.71955062797908,0.52011164015944
4,15,0.786520759530707,0.373747644969317
