"sample_label","analysis_id","pangea_id"
"TARA_064_SRF_0.22-3",105,"TARA_B100000401"
"TARA_065_DCM_0.22-3",106,"TARA_B000000441"
"TARA_065_MES_0.22-3",107,"TARA_B000000460"
"TARA_065_SRF_0.22-3",108,"TARA_B000000437"
"TARA_066_DCM_0.22-3",109,"TARA_B000000477"
"TARA_066_SRF_0.22-3",110,"TARA_B000000475"
"TARA_067_SRF_0.22-3",111,"TARA_B100000497"
"TARA_068_DCM_0.22-3",112,"TARA_B100000482"
"TARA_068_MES_0.22-3",113,"TARA_B100000470"
"TARA_068_SRF_0.22-3",114,"TARA_B100000475"
"TARA_070_MES_0.22-3",115,"TARA_B100000446"
"TARA_070_SRF_0.22-3",116,"TARA_B100000459"
"TARA_072_DCM_0.22-3",117,"TARA_B100000427"
"TARA_072_MES_0.22-3",118,"TARA_B100000508"
"TARA_072_SRF_0.22-3",119,"TARA_B100000424"
"TARA_076_DCM_0.22-3",120,"TARA_B100000519"
"TARA_076_MES_0.22-3",121,"TARA_B100000749"
"TARA_076_SRF_0.22-3",122,"TARA_B100000513"
"TARA_078_DCM_0.22-3",123,"TARA_B100000530"
"TARA_078_MES_0.22-3",124,"TARA_B100000745"
"TARA_078_SRF_0.22-3",125,"TARA_B100000524"
"TARA_082_DCM_0.22-3",126,"TARA_B100000767"
"TARA_082_SRF_0.22-3",127,"TARA_B100000768"
"TARA_084_SRF_0.22-3",128,"TARA_B100000780"
"TARA_085_DCM_0.22-3",129,"TARA_B100000795"
"TARA_085_MES_0.22-3",130,"TARA_B100000809"
"TARA_085_SRF_0.22-3",131,"TARA_B100000787"
"TARA_093_DCM_0.22-3",132,"TARA_B100001059"
"TARA_093_SRF_0.22-3",133,"TARA_B100001063"
"TARA_094_SRF_0.22-3",134,"TARA_B100001057"
"TARA_096_SRF_0.22-3",135,"TARA_B100000989"
"TARA_098_DCM_0.22-3",136,"TARA_B100001029"
"TARA_098_MES_0.22-3",137,"TARA_B100001013"
"TARA_098_SRF_0.22-3",138,"TARA_B100001027"
"TARA_099_SRF_0.22-3",139,"TARA_B100000886"
