"canonical_direction","fold","train","test","seed"
2,1,0.499399936646298,0.211350828238383,0
5,1,0.474086609553857,-0.265642030018816,0
1,1,0.418118173219892,0.493778910385056,0
4,1,0.372156370619154,0.298004222098344,0
3,1,0.300050213787291,-0.315882089989972,0
2,2,0.506197641532187,0.239947386777073,0
5,2,0.43854985152951,0.222457458008246,0
1,2,0.417513679665628,0.156357976063558,0
4,2,0.420974393397026,-0.0410791094569406,0
3,2,0.337424437604189,-0.292601139363618,0
2,3,0.549243005837427,-0.396621520554237,0
5,3,0.442638538406351,-0.284260271846853,0
1,3,0.436400276522421,0.539112334467584,0
4,3,0.384057080506311,0.0845403375269809,0
3,3,0.32196215710088,0.164447109075194,0
2,4,0.48461133812074,0.298812896743508,0
5,4,0.447928258894739,-0.0847750258921441,0
1,4,0.433893481787976,-0.0506777511354692,0
4,4,0.378126395564092,0.124039296967369,0
3,4,0.316724959799052,0.13917818250142,0
2,5,0.512485413774678,0.124054911438679,0
5,5,0.450819075238658,0.0556250080290862,0
1,5,0.407194311285602,0.548471120382813,0
4,5,0.392814645515305,0.0369338054806423,0
3,5,0.286935469399995,0.401878371914132,0
2,6,0.509552397748449,-0.00341968219477694,0
5,6,0.445879706857549,0.0626996340607139,0
1,6,0.446048348428633,-0.0553629834336447,0
4,6,0.37842901152347,-0.0592561831107443,0
3,6,0.284209859790115,0.451899825509619,0
2,7,0.487800726086125,0.424599166902076,0
5,7,0.417331945918707,-0.106310377628127,0
1,7,0.39829945923058,0.653663502014736,0
4,7,0.393110018905214,0.162969935861629,0
3,7,0.349557533989758,-0.0363178815560018,0
2,8,0.481514305489187,0.578015081019785,0
5,8,0.441313048018639,0.326721184034111,0
1,8,0.427943977723869,0.499631146232545,0
4,8,0.360807284055468,-0.218323261374274,0
3,8,0.325960358321797,0.220569355166572,0
2,9,0.496379087396144,-0.148683639972375,0
5,9,0.497634275510672,-0.238698025331658,0
1,9,0.419055996713212,0.129857359519605,0
4,9,0.383195852926867,0.341501688058307,0
3,9,0.338041163580346,-0.274204801330431,0
2,10,0.503448813272091,-0.560101191059462,0
5,10,0.465226290365487,-0.553283782266157,0
1,10,0.432442173397794,0.299802520713176,0
4,10,0.385770555137496,0.0997442194113086,0
3,10,0.315587974878949,-0.093264988596961,0
2,11,0.481126328749551,-0.0817775451490388,0
5,11,0.474452805425319,-0.358840512655966,0
1,11,0.465686187801886,-0.134835629116411,0
4,11,0.380524390298358,-0.150821980068531,0
3,11,0.325486082138728,0.108163223048162,0
2,12,0.50523969938342,-0.239731368981937,0
5,12,0.494975063326221,-0.458490218960881,0
1,12,0.420841000494141,0.379962396937102,0
4,12,0.377722955221538,-0.214120478244426,0
3,12,0.32313123687794,-0.0769597279815753,0
2,13,0.480670811384095,0.264028718899617,0
5,13,0.446221128191898,-0.0181928534497083,0
1,13,0.406993783821734,0.508035361930656,0
4,13,0.355031853047952,0.0323567638125622,0
3,13,0.315882507592668,0.232335340494847,0
2,14,0.482594657931134,0.31860764576796,0
5,14,0.461587113082093,0.0270004114474591,0
