Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
MJ030-1-barcode35-umi17181bins-ubs-27,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,DSM-21967,Dasania,Dasania marina,1.0
MJ030-1-barcode35-umi17241bins-ubs-28,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,Flavobacteriaceae,Aquimarina_835331,Pseudofulvibacter geojedonensis,1.0
MJ030-1-barcode35-umi17271bins-ubs-27,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi17673bins-ubs-28,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,Cellvibrionaceae,Saccharophagus,Unassigned,1.0
MJ030-1-barcode35-umi17702bins-ubs-26,Bacteria,Desulfobacterota_G_459546,Desulfuromonadia,Desulfuromonadales,Unassigned,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi17710bins-ubs-26,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,Unassigned,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi17831bins-ubs-27,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,SZUA-36,SZUA-36,SZUA-36 sp003233115,1.0
MJ030-1-barcode35-umi17958bins-ubs-27,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,Unassigned,1.0
MJ030-1-barcode35-umi18112bins-ubs-27,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,Halieaceae,Halioglobus_A_631300,Unassigned,1.0
MJ030-1-barcode35-umi18594bins-ubs-26,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter sp009184395,1.0
MJ030-1-barcode35-umi18953bins-ubs-26,Bacteria,Bacteroidota,Bacteroidia,Cytophagales_B,Thermonemataceae_910791,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi19510bins-ubs-25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_737866,Kangiellaceae,Aliikangiella_737838,Aliikangiella coralliicola,1.0
MJ030-1-barcode35-umi19891bins-ubs-24,Bacteria,Desulfobacterota_G_459543,DSM-4660,Desulfatiglandales,HGW-15,JAAZBV01,Unassigned,1.0
MJ030-1-barcode35-umi19955bins-ubs-24,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Parvularculaceae,Hyphococcus,Unassigned,1.0
MJ030-1-barcode35-umi20371bins-ubs-24,Bacteria,Pseudomonadota,Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi20732bins-ubs-25,Bacteria,Pseudomonadota,Gammaproteobacteria,Berkiellales,Berkiellaceae,Berkiella_A,Unassigned,1.0
MJ030-1-barcode35-umi21505bins-ubs-22,Bacteria,Desulfobacterota_G_459543,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,DB1,DB1 sp001914235,1.0
MJ030-1-barcode35-umi21830bins-ubs-23,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_641035,DSM-6294_637244,Litoribrevibacter,Unassigned,1.0
MJ030-1-barcode35-umi22264bins-ubs-23,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,Pseudohongiellaceae,UBA9145,UBA9145 sp009844085,1.0
MJ030-1-barcode35-umi22329bins-ubs-23,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,Unassigned,1.0
MJ030-1-barcode35-umi22378bins-ubs-25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,DSM-21967,Dasania,Dasania marina,1.0
MJ030-1-barcode35-umi22420bins-ubs-24,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,Halieaceae,CABYJX01,CABYJX01 sp902519405,1.0
MJ030-1-barcode35-umi2242bins-ubs-98,Bacteria,Campylobacterota_A,Campylobacteria,Campylobacterales,Arcobacteraceae,Poseidonibacter,Unassigned,1.0
MJ030-1-barcode35-umi22486bins-ubs-22,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,TMED113,GCA-2718035,Unassigned,1.0
MJ030-1-barcode35-umi22570bins-ubs-22,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,Halieaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi22655bins-ubs-21,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,Flavobacteriaceae,Urechidicola,Urechidicola croceus,1.0
MJ030-1-barcode35-umi22714bins-ubs-24,Bacteria,Pseudomonadota,Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi23107bins-ubs-21,Bacteria,Verrucomicrobiota,Kiritimatiellia,UBA8416,YA12-FULL-60-10,YA12-FULL-60-10,YA12-FULL-60-10 sp001803315,1.0
