fold,cd,null_mean,null_sd
1,1,1.553908478341721,0.008698818449693883
1,2,1.4947529469606193,0.009696031873134435
1,3,1.5588776414078689,0.007930142570889398
1,4,1.5460333956411925,0.010448287168887752
2,1,1.5594094669371052,0.008444436374705726
2,2,1.4976579575410378,0.008854715819022974
2,3,1.5608807439420311,0.007026957103439751
2,4,1.5280005751274635,0.009997436933041696
3,1,1.5556131984809003,0.009181108921624463
3,2,1.501426158237851,0.009267221381752339
3,3,1.555255784352078,0.009009819323040904
3,4,1.5498239178251478,0.009001811030612537
4,1,1.557547621318699,0.008382967437225736
4,2,1.5632319297440327,0.0065679528183439796
4,3,1.5576473696786513,0.008796997646041643
4,4,1.4969288241028211,0.009442436533655825
5,1,1.5445035313250464,0.008422983448529132
5,2,1.5071531437872112,0.010224122907580587
5,3,1.5562459580489079,0.009680419771041341
5,4,1.4968733579520785,0.009191196375961393
6,1,1.5603954898359014,0.0071217814166501196
6,2,1.50324930368785,0.010389999388201728
6,3,1.5631308701953677,0.0052131167189540155
6,4,1.5326442959314295,0.008829592883220027
7,1,1.5455387797910372,0.00804687718731633
7,2,1.4778814402278484,0.009732250453071249
7,3,1.563891075690243,0.005197783148769729
7,4,1.560607527834062,0.006931795724205059
8,1,1.5536364703429808,0.008740314315327888
8,2,1.4982353019908468,0.008846715032123928
8,3,1.5555381650732611,0.008228164139415592
8,4,1.5194095777343044,0.009892867488713809
9,1,1.54901846310752,0.00855188027296751
9,2,1.558100652786017,0.007839692750614522
9,3,1.5511786696510204,0.009599786359223875
9,4,1.486482510379568,0.009001483253403324
10,1,1.5575956521406273,0.008253347012413663
10,2,1.5360303854198656,0.010001024210701514
10,3,1.5601179234289666,0.007687368146590169
10,4,1.4895546011332208,0.010737007019978371
11,1,1.5550482097572993,0.00865827195113679
11,2,1.496970811629883,0.010511118839485639
11,3,1.5603934343160435,0.006777106422086719
11,4,1.5202652142301842,0.009610401467127713
12,1,1.5548308044479155,0.007284258462447851
12,2,1.5513896043983224,0.00913110490924132
12,3,1.5552813418887552,0.007877779622887856
12,4,1.4848797424585642,0.01029816149077071
13,1,1.5517625843002867,0.008338018668592219
13,2,1.522255255342198,0.009250212682990451
13,3,1.5550053763323264,0.00949318186081226
13,4,1.4884850778728334,0.009693031604012066
14,1,1.5519132445486519,0.009472897414030047
14,2,1.517462405308938,0.010558206856647002
14,3,1.561331653363014,0.006482167839626349
14,4,1.510317478303673,0.009167837202120855
15,1,1.5492984284165323,0.00988482166618573
15,2,1.5179392486012122,0.009391183674086622
15,3,1.5574647006569342,0.00853327781036244
15,4,1.505311797214352,0.00878219139913072
