"canonical_direction","fold","train","test","seed"
1,1,0.148470350208483,0.0838261922966056,0
2,1,0.0679377599496774,0.0291058710775562,0
1,2,0.15173736877007,0.123360771843751,0
2,2,0.0884415873223429,0.130743961610568,0
1,3,0.18949362647866,0.612863131171707,0
2,3,0.0970327312942404,0.324175351761654,0
1,4,0.209236497891462,0.539166952258787,0
2,4,0.015055096575415,0.231136147088804,0
1,5,0.114677753388971,0.271556871741914,0
2,5,0.11114297739083,0.72397533198903,0
1,6,0.226444722036458,0.614802243181825,0
2,6,0.0540837675462179,0.299291589674671,0
1,7,0.206464236524152,0.785729872564205,0
2,7,0.0661279595146368,0.102721673236439,0
1,8,0.151630953810366,0.00579928204270864,0
2,8,0.0742458434219042,0.297176896673557,0
1,9,0.143108090728719,0.220898487610599,0
2,9,0.122850642359516,0.500338359780664,0
1,10,0.152785071541473,0.374876702499842,0
2,10,0.076561542509746,0.055600870761007,0
1,11,0.17520110129668,0.568339544927561,0
2,11,0.0753077709618459,0.082931389557253,0
1,12,0.177691945032908,0.756785387822978,0
2,12,0.0881522166063874,0.373514551355283,0
1,13,0.137658081415464,0.424359400108498,0
2,13,0.0846409208312357,0.0202185691748736,0
1,14,0.123141026743868,0.346472721379557,0
2,14,0.0997351188287516,0.104418171206646,0
1,15,0.130278379521783,0.301666665180442,0
2,15,0.0902651991108316,0.472831914900755,0
2,1,0.33597528454101,0.118361045100824,1
1,1,0.137791708667417,0.0654495169662914,1
2,2,0.309505703998067,0.440236786950439,1
1,2,0.0720973390474489,0.404872723855406,1
2,3,0.300288489303554,0.58023200304502,1
1,3,0.13435875288648,0.403395904135869,1
2,4,0.316763301928814,0.265019729849051,1
1,4,0.183426564002314,0.323594567661579,1
2,5,0.331092073208213,0.121599244147164,1
1,5,0.123832011644138,0.170211931551596,1
2,6,0.32970159761776,0.0759570823521076,1
1,6,0.079943974432789,0.473350790934781,1
2,7,0.291376704772016,0.794734614866688,1
1,7,0.099967682894925,0.561756996635632,1
2,8,0.326154026288113,0.103691221787313,1
1,8,0.0833490980483197,0.658848713305462,1
2,9,0.296151191928932,0.476480787687522,1
1,9,0.0775219915437132,0.194793698929833,1
2,10,0.306604204751249,0.442295698445992,1
1,10,0.0921523239047478,0.234573523181907,1
2,11,0.340312184694314,0.0768138954817859,1
1,11,0.131129672320303,0.196964959978083,1
2,12,0.317139922530346,0.542534503171149,1
1,12,0.060453535802323,0.60389171187735,1
2,13,0.313442043674038,0.328798653495648,1
1,13,0.210162153972154,0.654824074406653,1
2,14,0.325641216279477,0.589655280678864,1
1,14,0.162223988852126,0.403872335255145,1
2,15,0.313888624097997,0.292242487964215,1
1,15,0.134468426645653,0.44896627797048,1
2,1,0.159753158246404,0.247017289501956,2
1,1,0.058946903299419,0.265587455601963,2
2,2,0.151027691320357,0.145486774110505,2
1,2,0.0947601148352882,0.467382078887358,2
2,3,0.131811832175003,0.00603054909633334,2
1,3,0.117197324679989,0.65371002422876,2
2,4,0.126435619205893,0.337948276771185,2
1,4,0.0684470412594002,0.390572503429685,2
2,5,0.174031770505626,0.363530772608773,2
1,5,0.0992940490818057,0.121702116826582,2
2,6,0.171263856400656,0.385162387533638,2
1,6,0.123260061494838,0.387173295489795,2
2,7,0.113161274427162,0.398764297699869,2
1,7,0.104317070940867,0.276497549517742,2
2,8,0.160203657542348,0.172971128034987,2
1,8,0.0768855206272848,0.507146293397852,2
2,9,0.108102571930872,0.383616378273845,2
1,9,0.0341692495508201,0.260877536391513,2
2,10,0.143051820755161,0.0136284892427465,2
1,10,0.101304880955005,0.108753681937781,2
2,11,0.171600614429321,0.538766918650946,2
1,11,0.0794948681320784,0.418677771748891,2
2,12,0.138200516868402,0.0880900195391682,2
1,12,0.0879097335729877,0.0423498026021262,2
2,13,0.171621855396816,0.519933338437301,2
1,13,0.113315218391793,0.324295464164795,2
2,14,0.121049676710318,0.109476202363685,2
1,14,0.0507198454333311,0.109257181291801,2
2,15,0.128483288347032,0.319612035991901,2
1,15,0.0808825054935487,0.0761872605719073,2
1,1,0.162501087080515,0.180179830577278,3
2,1,0.227757218793602,0.0566407014705712,3
1,2,0.15191051108919,0.0989673416326348,3
2,2,0.203391223334734,0.0783298525669635,3
1,3,0.139685216289951,0.217485836320912,3
2,3,0.172686394982516,0.470532538309591,3
1,4,0.150218107393781,0.875946126584212,3
2,4,0.25373283054807,0.233145067304078,3
1,5,0.15611508705297,0.376031361864698,3
2,5,0.263100231808267,0.457325915261273,3
1,6,0.201633071967705,0.562346578533704,3
2,6,0.222542014323437,0.116290303918577,3
1,7,0.186788895502839,0.530143359997265,3
2,7,0.144887063540385,0.0240176785075947,3
1,8,0.163720974817014,0.153693457672401,3
2,8,0.234317183736062,0.0291411942794563,3
1,9,0.13885595742453,0.487917402690707,3
2,9,0.17700733869019,0.1635468413315,3
1,10,0.169618640974034,0.369923109207962,3
2,10,0.132670756582377,0.509766060904203,3
1,11,0.142563766882034,0.126528134824293,3
2,11,0.207587805533882,0.735063795119147,3
1,12,0.160305684665773,0.662334979641873,3
2,12,0.178778959846447,0.221922630225514,3
1,13,0.147752767785208,0.127789501371703,3
2,13,0.208682408354822,0.57367272835563,3
1,14,0.156022538861641,0.232174343871691,3
2,14,0.197944449547429,0.142693365671306,3
1,15,0.160380287691687,0.0953006968471192,3
2,15,0.248797619096486,0.0174790677688428,3
2,1,0.201800932033369,0.143633141231587,4
1,1,0.047138125795869,0.278176185912211,4
2,2,0.207071347196583,0.16207573382822,4
1,2,0.00817463187751959,0.135730119207541,4
2,3,0.22343575166068,0.166978940556588,4
1,3,0.0855095396164691,0.53829480384624,4
2,4,0.182568546090502,0.029591397460661,4
1,4,0.101349758809941,0.178026327422747,4
2,5,0.189731890551869,0.234147805217785,4
1,5,0.0341959196969546,0.447713693114047,4
2,6,0.221104956654217,0.244218333141315,4
1,6,0.0388050341684223,0.344970740563542,4
2,7,0.141455331501662,0.423308862759237,4
1,7,0.00654551062469445,0.520883523467419,4
2,8,0.208933314195698,0.392042710926067,4
1,8,0.0377304773780272,0.429294486897517,4
2,9,0.165684908803201,0.821870413361308,4
1,9,0.0528222590066196,0.52346835577884,4
2,10,0.201097462513043,0.0723143605107779,4
1,10,0.035609504294583,0.46699623115134,4
2,11,0.224590319459649,0.438465470237731,4
1,11,0.0317809260717568,0.60382521556817,4
2,12,0.241610217232024,0.55360995675075,4
1,12,0.026752016421477,0.362177219718691,4
2,13,0.186584365886751,0.0598824672310754,4
1,13,0.0533123828992772,0.128658774548406,4
2,14,0.219322093108868,0.256518156831803,4
1,14,0.0168034051293783,0.25523244452229,4
2,15,0.22090979129791,0.340204957786656,4
1,15,0.0206668675200185,0.310945597235261,4
1,1,0.148593433758628,0.346030027743746,5
2,1,0.130881602979744,0.237613414258822,5
1,2,0.141881650070424,0.391924838624487,5
2,2,0.101809156515158,0.011638799730216,5
1,3,0.152683422911009,0.191202927490477,5
2,3,0.137220011393442,0.200139299783347,5
1,4,0.117972656917058,0.148648676903738,5
2,4,0.187701069480276,0.351059047476519,5
1,5,0.113294829924469,0.0804948498835424,5
2,5,0.0728303848294908,0.246896417560184,5
1,6,0.138137271124683,0.245396428579412,5
2,6,0.124914259036392,0.202115929083753,5
1,7,0.108576424167508,0.624149209799395,5
2,7,0.116669283369623,0.0310290075463845,5
1,8,0.112138288477284,0.297517509533072,5
2,8,0.0971814887720126,0.0844340829473558,5
1,9,0.142874878489773,0.197828434536873,5
2,9,0.116164272755138,0.241353249309006,5
1,10,0.13749632470785,0.315044388563598,5
2,10,0.124599164859655,0.338585655434821,5
1,11,0.113472689715536,0.161680777030719,5
2,11,0.127383605408996,0.129112768528718,5
1,12,0.129188921534465,0.19938382194993,5
2,12,0.122695832185509,0.153484042950147,5
1,13,0.0941110077020512,0.434257033183414,5
2,13,0.155055461972518,0.103723839394233,5
1,14,0.116817392084045,0.425659149077837,5
2,14,0.0866111988724335,0.371039426982991,5
1,15,0.140864106113007,0.616689074794807,5
2,15,0.125239780117393,0.295114685407516,5
2,1,0.238857040439499,0.315664720725743,6
1,1,0.0720779870514986,0.64924721953728,6
2,2,0.19675811478745,0.347049540819426,6
1,2,0.101647987260701,0.477408684072721,6
2,3,0.228057692701972,0.196750586121646,6
1,3,0.126328251179199,0.348376119697859,6
2,4,0.2603062825843,0.0736454962919143,6
1,4,0.126401771283257,0.253521331067913,6
2,5,0.230248448805924,0.562329066696808,6
1,5,0.0823179099434264,0.621078254306096,6
2,6,0.205574560727487,0.407647192685585,6
1,6,0.0884730161655941,0.565418090786159,6
2,7,0.176319334588278,0.296016613606708,6
1,7,0.0999857561577269,0.223718899423189,6
2,8,0.205826182680012,0.238907281452239,6
1,8,0.0846519320122826,0.0886303964747617,6
2,9,0.153663184096747,0.741329779931872,6
1,9,0.191581105976872,0.34094940900295,6
2,10,0.229022408613985,0.0277092532712242,6
1,10,0.120183076943215,0.203586161989429,6
2,11,0.246384363407717,0.426449115259404,6
1,11,0.0905156591697392,0.0981473107529367,6
2,12,0.216432017353522,0.0757682561490812,6
1,12,0.124778647643285,0.76181353468566,6
2,13,0.19844706495697,0.559507481542391,6
1,13,0.141580840192117,0.258033647715436,6
2,14,0.209073972231965,0.234911193031597,6
1,14,0.165973112228687,0.130813071579619,6
2,15,0.220081600025221,0.0362326843979417,6
1,15,0.107250468553563,0.164805689872167,6
2,1,0.112602039502546,0.417102844320461,7
1,1,0.0749357874937099,0.0517696661780554,7
2,2,0.193251356712784,0.538531547093652,7
1,2,0.0525949669079791,0.423904731847007,7
2,3,0.134782997569321,0.331074740875725,7
1,3,0.0625043296108077,0.37992375371734,7
2,4,0.12336921508143,0.455283138384302,7
1,4,0.0983214113985832,0.689012489551492,7
2,5,0.180832422534917,0.624853567484958,7
1,5,0.109760486672341,0.609021035497441,7
2,6,0.155487350115826,0.223003844913654,7
1,6,0.131130505381017,0.575981262096125,7
2,7,0.143904798987485,0.298197166832107,7
1,7,0.0179959952462551,0.463640230726069,7
2,8,0.148011125527613,0.450916111407432,7
1,8,0.0917867821213214,0.277610881048589,7
2,9,0.135800919001616,0.194708791635953,7
1,9,0.0864384323188488,0.312005858989831,7
2,10,0.121837133636678,0.223142677527388,7
1,10,0.106142707022425,0.677895056105699,7
2,11,0.127872879423158,0.253294972938501,7
1,11,0.0801946798963978,0.199267329033035,7
2,12,0.128852399847103,0.326392013110661,7
1,12,0.101097237689397,0.407139269897009,7
2,13,0.137651214708522,0.0401476476701416,7
1,13,0.067545981554,0.439975592202709,7
2,14,0.116896918822579,0.15061011565271,7
1,14,0.0680842544121282,0.381837664424854,7
2,15,0.132912494156573,0.0484946855950943,7
1,15,0.0772919038344823,0.888605207141637,7
2,1,0.180219937870883,0.00312797218627246,8
1,1,0.136337091016151,0.122208752316321,8
2,2,0.17738095856092,0.0650088095433068,8
1,2,0.143748264741757,0.436631047530223,8
2,3,0.190509648961503,0.140309248540704,8
1,3,0.187338634027759,0.353641543525453,8
2,4,0.181213752154165,0.0486955869516486,8
1,4,0.0900620435287707,0.265017629686639,8
2,5,0.206150936046839,0.392581157167267,8
1,5,0.148565052342825,0.05358240943154,8
2,6,0.188025295360272,0.247517483421643,8
1,6,0.144470768172459,0.504140296686169,8
2,7,0.1470392245471,0.244250667980774,8
1,7,0.140262077808562,0.683680047198082,8
2,8,0.196183492941472,0.655873627678393,8
1,8,0.0459761167685593,0.269324179315331,8
2,9,0.213786322340485,0.510188360131798,8
1,9,0.125431368634539,0.131052084787896,8
2,10,0.113212507557083,0.461922785092786,8
1,10,0.0918279394389172,0.52467699148123,8
2,11,0.198142832064681,0.194186468592998,8
1,11,0.0810394512583044,0.44596403099511,8
2,12,0.206824887415444,0.347791436503185,8
1,12,0.132968888295701,0.432086769016329,8
2,13,0.17657278372416,0.000495748561899606,8
1,13,0.176554307374588,0.544341731515272,8
2,14,0.170709875763734,0.12571534733082,8
1,14,0.134550612448118,0.150156645438387,8
2,15,0.179753870183016,0.263942878181969,8
1,15,0.11455386167059,0.183054825360639,8
2,1,0.226499775403544,0.385914472381523,9
1,1,0.184300110694153,0.18023526263915,9
2,2,0.267903117474032,0.397750923352361,9
1,2,0.127612936918706,0.544947485643824,9
2,3,0.241462844470495,0.344111044692016,9
1,3,0.159049032016904,0.616737852224262,9
2,4,0.225500030390044,0.347604567932751,9
1,4,0.198992047733491,0.363433336750994,9
2,5,0.250135205672433,0.146814169440303,9
1,5,0.169465982881685,0.244181921794471,9
2,6,0.235845428208787,0.16482946425077,9
1,6,0.166204268581848,0.194883464138543,9
2,7,0.244386580857239,0.00140603470879714,9
1,7,0.173594625695379,0.701305187245846,9
2,8,0.22422945095886,0.704134424708591,9
1,8,0.0827928471672279,0.33549000339465,9
2,9,0.263127491630484,0.450379526799072,9
1,9,0.101619657076522,0.283375820498082,9
2,10,0.231152613955986,0.183357221792342,9
1,10,0.157428835962008,0.10754770732455,9
2,11,0.226877544651151,0.412074510169299,9
1,11,0.154472591392868,0.214032983901736,9
2,12,0.239901101965821,0.22880864844797,9
1,12,0.161165190893488,0.766519303316134,9
2,13,0.229561035785545,0.242476374091311,9
1,13,0.10412643642425,0.400590516451795,9
2,14,0.217450642250538,0.762846426790325,9
1,14,0.182556465629197,0.331533120767408,9
2,15,0.224707050480641,0.404548574357935,9
1,15,0.170134654687114,0.628098087188294,9
2,1,0.19714379916414,0.0610874532634977,10
1,1,0.17711913034378,0.291892911878493,10
2,2,0.220815045748074,0.164588074456843,10
1,2,0.201893686270655,0.321249967458947,10
2,3,0.198686204895774,0.0986494306117081,10
1,3,0.194430237719721,0.175596672817723,10
2,4,0.18890648395765,0.212691931595275,10
1,4,0.235168046693708,0.383607736905102,10
2,5,0.192385276466365,0.103303843867919,10
1,5,0.196878343304959,0.689199076324247,10
2,6,0.185525171867478,0.352574448975107,10
1,6,0.124033232435218,0.609822434503679,10
2,7,0.204415681352889,0.109203524945042,10
1,7,0.208374177329508,0.704138060855885,10
2,8,0.208713755952407,0.238835613631917,10
1,8,0.174999999998131,0.232866378528885,10
2,9,0.204708864756892,0.0111646754053906,10
1,9,0.14126761068491,0.0514700778958134,10
2,10,0.1949509653765,0.159969205203267,10
1,10,0.230036721146124,0.33500589968895,10
2,11,0.186501821814623,0.474899015873356,10
1,11,0.200479978682794,0.256863635772423,10
2,12,0.190153920055242,0.092710449577836,10
1,12,0.12122468826392,0.651949520717802,10
2,13,0.222616557786427,0.633702184259494,10
1,13,0.162935325142455,0.282206424926139,10
2,14,0.192616132225932,0.845929321453638,10
1,14,0.169017529493184,0.308239806484198,10
2,15,0.191348946715869,0.206996405793019,10
1,15,0.206874200744575,0.734592415673852,10
2,1,0.201252970840508,0.272379277030679,11
1,1,0.145431898911337,0.526669737400798,11
2,2,0.196175763911908,0.0733931056195032,11
1,2,0.0626356096809347,0.74456660249119,11
2,3,0.169576395362774,0.255519040777773,11
1,3,0.156010272770842,0.385106300034778,11
2,4,0.199686386491044,0.0274259222995667,11
1,4,0.200091857252596,0.595481437129688,11
2,5,0.184920536708371,0.0205839154908266,11
1,5,0.198708706690372,0.0466730806307922,11
2,6,0.225208613487697,0.472830543134922,11
1,6,0.196416098018696,0.364824527087268,11
2,7,0.13811449239655,0.435323443784274,11
1,7,0.0989153885174014,0.724180105605079,11
2,8,0.210857247558574,0.220377666343708,11
