canonical_direction,fold,shuffle_id,tau_D
1,1,1,5.422986128291398
1,1,2,5.018446515506143
1,1,3,4.8933548828262134
1,1,4,4.813070508191925
1,1,5,4.741907212697483
1,1,6,4.8835855789935625
1,1,7,4.990818024868343
1,1,8,5.104615840696313
1,1,9,4.66530201038619
1,1,10,4.776689445143358
1,1,11,4.842621590111175
1,1,12,4.845584604593329
1,1,13,4.879629512141603
1,1,14,4.814387877413692
1,1,15,4.897642872440023
1,1,16,4.888254844792275
1,1,17,4.704648500438851
1,1,18,4.851052033791691
1,1,19,4.725679684025745
1,1,20,4.769891190608542
1,1,21,4.719435150965476
1,1,22,4.97506786000585
1,1,23,4.727568343622001
1,1,24,5.1450068665886475
1,1,25,5.170148454505559
1,1,26,5.076620583089525
1,1,27,4.913924589964891
1,1,28,5.027936564950262
1,1,29,5.013112075921591
1,1,30,4.8744796723229955
1,1,31,4.8488766952896425
1,1,32,4.985364533206552
1,1,33,4.9240252918373315
1,1,34,5.166462830310123
1,1,35,4.84981325804564
1,1,36,5.041323154476302
1,1,37,4.746478285547103
1,1,38,5.046485477472205
1,1,39,4.8556305889409
1,1,40,5.3179673968695145
1,1,41,4.805813500438853
1,1,42,5.122149414277354
1,1,43,5.009606869514336
1,1,44,4.840534165008776
1,1,45,4.812423785254534
1,1,46,4.777484417349326
1,1,47,4.857453165886482
1,1,48,4.806978392627267
1,1,49,4.637799201726155
1,1,50,5.256124710064364
1,1,51,4.96725108923347
1,1,52,5.028587740052662
1,1,53,4.772208641749561
1,1,54,4.743897309245172
1,1,55,4.829623950409595
1,1,56,5.068603494441193
1,1,57,5.015726278525452
1,1,58,5.295652238150965
1,1,59,5.035354939438268
1,1,60,4.985153407255703
1,1,61,4.891630909449971
1,1,62,4.853320695582211
1,1,63,5.0493688502047975
1,1,64,4.889612969572848
1,1,65,4.516055197191339
1,1,66,5.053070976448214
1,1,67,5.046392996050321
1,1,68,4.724336805880631
1,1,69,4.577961980983031
1,1,70,5.039874121562317
1,1,71,5.044367982153306
1,1,72,4.993108925980105
1,1,73,5.397543062609713
1,1,74,4.968974546225862
1,1,75,4.856881060561731
1,1,76,4.8310339068168515
1,1,77,4.929895029988296
1,1,78,4.661980650234054
1,1,79,4.920817622440022
1,1,80,4.955118071825628
1,1,81,4.89738626433587
1,1,82,4.941146800906962
1,1,83,4.983555599765944
1,1,84,5.0294234657694545
1,1,85,4.988243024575775
1,1,86,4.725828153891163
1,1,87,4.881267336746634
1,1,88,4.91175419221767
1,1,89,4.996643518285547
1,1,90,4.786329016237565
1,1,91,5.220764949970742
1,1,92,4.976807617905207
1,1,93,4.87129751170275
1,1,94,4.760154376682269
1,1,95,4.926916494294908
1,1,96,4.879113978057343
1,1,97,4.982312553540082
1,1,98,4.931125469719134
1,1,99,4.792127757460502
1,1,100,4.7924931373610296
1,2,1,5.255212316851959
1,2,2,5.138935855471035
1,2,3,5.037327643651256
1,2,4,4.815805419543592
1,2,5,4.983055346108834
1,2,6,4.858712419397308
1,2,7,5.052342530719718
1,2,8,4.956997122440023
1,2,9,5.383250997220596
1,2,10,4.894718110737272
1,2,11,4.967489756143943
1,2,12,4.776127318899941
1,2,13,4.759168912375658
1,2,14,4.931109994294909
1,2,15,5.245642338648331
1,2,16,4.6879011812463425
1,2,17,5.1165366421884135
1,2,18,5.18907528510825
1,2,19,4.826371387799881
1,2,20,4.773154693680515
1,2,21,4.695873681100058
1,2,22,4.832807428759508
1,2,23,4.940647959332942
1,2,24,4.928784777940315
1,2,25,5.060759615710941
1,2,26,4.948708098595669
1,2,27,4.754533478057343
1,2,28,4.962282008777061
1,2,29,5.0285679448507885
1,2,30,5.128949616149795
1,2,31,4.671840224253948
1,2,32,4.902206067144529
1,2,33,4.823217397308367
1,2,34,5.133613734055003
1,2,35,4.895036969426565
1,2,36,4.939889029403159
1,2,37,4.959558539204212
1,2,38,4.99283089204213
1,2,39,5.045753285985956
1,2,40,5.459435988589818
1,2,41,5.099148780280865
1,2,42,4.919593265067291
1,2,43,4.915049446606202
1,2,44,4.862004452457576
1,2,45,5.228444094645991
1,2,46,4.781434886044471
1,2,47,4.911530534523112
1,2,48,4.9011361696898765
1,2,49,4.77619556217086
1,2,50,5.152815955968402
1,2,51,5.361594404330016
1,2,52,5.1075155336454054
1,2,53,4.8211466263897
1,2,54,4.882172363516676
1,2,55,5.0472891029842
1,2,56,5.230745983031012
1,2,57,5.265441838209478
1,2,58,5.154712199970742
1,2,59,4.969397282475131
1,2,60,4.763034298712697
1,2,61,4.966255591866588
1,2,62,4.782116101960209
1,2,63,5.017607831334113
1,2,64,4.794073541983615
1,2,65,4.759519453335283
1,2,66,5.05009454417788
1,2,67,5.172324450702165
1,2,68,4.931193797396138
1,2,69,4.613108415593914
1,2,70,4.6201555013165585
1,2,71,5.0242053050029245
1,2,72,4.8627649158864825
1,2,73,4.991697598303101
1,2,74,5.1730465791398474
1,2,75,4.9520676565242825
1,2,76,4.856829704505558
1,2,77,5.174271481714452
1,2,78,4.9723434325629015
1,2,79,5.08208515476887
1,2,80,4.949605822264481
1,2,81,5.0867663370392036
1,2,82,4.824772413692218
1,2,83,4.9490383287009925
1,2,84,5.310424395991808
1,2,85,4.62972090111176
1,2,86,5.262139921006434
1,2,87,4.760004603861907
1,2,88,4.956776288033938
1,2,89,5.030634957284961
1,2,90,4.8848627201579875
1,2,91,5.34550976740784
1,2,92,5.040878453188999
1,2,93,5.244616914277355
1,2,94,4.781365900380338
1,2,95,4.8344603649795195
1,2,96,5.056086182270333
1,2,97,4.694606041837331
1,2,98,4.809188671737857
1,2,99,5.219017464891749
1,2,100,4.860970039643065
1,3,1,5.324016954505558
1,3,2,4.7407686307782315
1,3,3,4.965925765506142
1,3,4,4.673891939438268
1,3,5,4.7635833793153886
1,3,6,5.03638094324166
1,3,7,4.983583294177881
1,3,8,4.955707341574019
1,3,9,4.685663529988298
1,3,10,4.952622620099473
1,3,11,4.991886373610297
1,3,12,4.934119382387359
1,3,13,4.763578593622
1,3,14,4.8445626003510815
1,3,15,5.084804335576359
1,3,16,4.732641200702164
1,3,17,4.868782716793445
1,3,18,4.92922811161498
1,3,19,4.696880327969572
1,3,20,4.605348227325921
1,3,21,4.751409106348741
1,3,22,4.9032888529842005
1,3,23,4.693173490637799
1,3,24,4.8591662754534815
1,3,25,4.7377378747805725
1,3,26,4.838130326067876
1,3,27,4.846258961088355
1,3,28,5.007225015506142
1,3,29,4.978092126974839
1,3,30,5.076069937682855
1,3,31,4.909232093475715
1,3,32,4.9095804330017545
1,3,33,4.783296426272674
1,3,34,5.313169397747219
1,3,35,4.7341586582796955
1,3,36,4.849849325336454
1,3,37,4.87359895157987
1,3,38,4.938425927296665
1,3,39,5.258133134142773
1,3,40,5.154944301053246
