canonical_direction,fold,shuffle_id,tau_D
1,1,1,3.9364051649616365
1,1,2,4.030851113864023
1,1,3,3.9386815856777497
1,1,4,3.901300575181159
1,1,5,4.009139515771525
1,1,6,3.851485387681159
1,1,7,4.11316288746803
1,1,8,3.90861151758312
1,1,9,4.240075088608269
1,1,10,4.138403515451833
1,1,11,4.069396250532821
1,1,12,3.952118367220801
1,1,13,3.7896505263746803
1,1,14,4.055794301204177
1,1,15,3.9924553208120206
1,1,16,3.95405567018329
1,1,17,3.9698493252877225
1,1,18,3.9736472342817555
1,1,19,3.9504530058610396
1,1,20,4.0608886406116795
1,1,21,3.938250070598891
1,1,22,4.139073870044756
1,1,23,4.059805057065217
1,1,24,3.9032108734548165
1,1,25,3.9538695549339296
1,1,26,3.902503330029838
1,1,27,3.9227356684249783
1,1,28,4.010862743765985
1,1,29,3.8477610958546458
1,1,30,3.962912481404518
1,1,31,3.8708385687340146
1,1,32,3.9383681886189255
1,1,33,4.1094188951406645
1,1,34,3.9385932959825234
1,1,35,3.855217064524722
1,1,36,3.9620983621057113
1,1,37,3.9765108783567773
1,1,38,3.923442304294544
1,1,39,3.9720230961743392
1,1,40,3.976016324754901
1,1,41,3.946554163682864
1,1,42,3.8821255041027283
1,1,43,3.934234262361466
1,1,44,3.986845443627451
1,1,45,3.97202986402387
1,1,46,3.7988954977621483
1,1,47,4.0026290879156
1,1,48,3.9102325146526002
1,1,49,3.7757377300724633
1,1,50,3.9336713185208856
1,1,51,3.9600545286658133
1,1,52,4.032882750426257
1,1,53,3.892558946398124
1,1,54,3.9956488298699906
1,1,55,4.074045942455242
1,1,56,4.133594723785166
1,1,57,4.0662959999999995
1,1,58,3.845145492487212
1,1,59,3.988477141410912
1,1,60,3.9001738592817556
1,1,61,4.05803768776641
1,1,62,4.051145160539216
1,1,63,4.126920614450128
1,1,64,3.9981883442028985
1,1,65,4.044453643009377
1,1,66,4.114849516091218
1,1,67,4.08803868606138
1,1,68,3.853260639013214
1,1,69,3.9555636625106554
1,1,70,3.9765232311381076
1,1,71,3.9846801577152595
1,1,72,3.930781714940324
1,1,73,4.06386138794757
1,1,74,3.9526242530370834
1,1,75,3.939596114077152
1,1,76,4.106668262361466
1,1,77,3.919564632992327
1,1,78,4.006269036924552
1,1,79,3.8799340303175613
1,1,80,4.049965292252771
1,1,81,4.042804604646206
1,1,82,3.8655386124786872
1,1,83,3.9545105115622334
1,1,84,4.038017053015771
1,1,85,4.061138687872975
1,1,86,4.048453282448849
1,1,87,4.05461391453538
1,1,88,4.116280723092498
1,1,89,4.006442047154731
1,1,90,4.02339461327792
1,1,91,3.884662261828644
1,1,92,4.023552763959931
1,1,93,3.9990162230392152
1,1,94,4.091840863864023
1,1,95,3.9361741321930945
1,1,96,4.069482077951832
1,1,97,3.9060193843243813
1,1,98,3.911989556745524
1,1,99,4.026911535326087
1,1,100,3.9243250651108266
1,2,1,3.9528592927855923
1,2,2,4.048243978793691
1,2,3,3.935763286658142
1,2,4,3.9117934988810736
1,2,5,4.108728866794543
1,2,6,3.8829949064897686
1,2,7,4.041898511402386
1,2,8,3.9344575169437337
